Strain,Fitness_estimated,Donor,Donor_conc,Biol_rep
SABsubtilisSM20231,0.847296541,CXA,2,1
SABsubtilisSM20231,0.832043818,CXA,3,1
SABsubtilisSM20231,0.976408454,DAP,1,2
SABsubtilisSM20231,0.988979052,DAP,2,2
SABsubtilisSM20231,0.087711181,DAPC,1,2
SABsubtilisSM20231,0.929320235,DAPC,2,2
SABsubtilisSM20231,1,DAPC,3,2
SABsubtilisSM20231,0.803226524,DOX,2,2
SABsubtilisSM20231,0.888873132,DOX,3,2
SABsubtilisSM20231,0.057894796,ERI,1,3
SABsubtilisSM20231,0.096026841,ERI,2,3
SABsubtilisSM20231,0.55449852,ERI,3,3
SABsubtilisSM20231,0.487700958,FOF,1,1
SABsubtilisSM20231,0.530152816,FOF,1,2
SABsubtilisSM20231,0.586595611,FOF,2,1
SABsubtilisSM20231,0.657476901,FOF,2,2
SABsubtilisSM20231,0.709895181,FOF,3,1
SABsubtilisSM20231,0.772589062,FOF,3,2
SABsubtilisSM20231,0.043413817,FUS,1,3
SABsubtilisSM20231,0.775090452,FUS,1,4
SABsubtilisSM20231,0.035644498,FUS,2,3
SABsubtilisSM20231,0.941175722,FUS,2,4
SABsubtilisSM20231,0.08881743,FUS,3,3
SABsubtilisSM20231,0.892550709,FUS,3,4
SABsubtilisSM20231,0.104355221,GEN,1,1
SABsubtilisSM20231,0.810244963,GEN,2,1
SABsubtilisSM20231,0.891637489,GEN,3,1
SABsubtilisSM20231,0.901593359,IPM,1,3
SABsubtilisSM20231,0.925300442,IPM,2,3
SABsubtilisSM20231,0.931136791,IPM,3,3
SABsubtilisSM20231,0.043775077,MUP,1,1
SABsubtilisSM20231,0.013453652,MUP,2,1
SABsubtilisSM20231,0.03095061,MUP,3,1
SABsubtilisSM20231,0.935546492,NIT,1,2
SABsubtilisSM20231,0.937400219,NIT,2,2
SABsubtilisSM20231,0.893095435,NIT,3,2
SABsubtilisSM20231,0.094023951,ORI,2,2
SABsubtilisSM20231,0.306823172,ORI,3,2
SABsubtilisSM20231,0.545195375,OXA,1,2
SABsubtilisSM20231,0.723107236,OXA,2,2
SABsubtilisSM20231,0.754595476,OXA,3,2
SABsubtilisSM20231,0.463551687,PEN,1,2
SABsubtilisSM20231,0.536687759,PEN,2,2
SABsubtilisSM20231,0.609615758,PEN,3,2
SABsubtilisSM20231,0.773547746,PLM,1,1
SABsubtilisSM20231,0.048572902,PLM,1,2
SABsubtilisSM20231,0.910223798,PLM,2,1
SABsubtilisSM20231,0.064473972,PLM,2,2
SABsubtilisSM20231,0.889384115,PLM,3,1
SABsubtilisSM20231,0.312868005,PLM,3,2
SABsubtilisSM20231,0.927277821,PQ,1,1
SABsubtilisSM20231,0.889207792,PQ,1,2
SABsubtilisSM20231,0.942734886,PQ,2,1
SABsubtilisSM20231,0.920367582,PQ,2,2
SABsubtilisSM20231,0.927767311,PQ,3,1
SABsubtilisSM20231,0.928326338,PQ,3,2
SABsubtilisSM20231,0.98006916,PRC,1,1
SABsubtilisSM20231,0.956779719,PRC,1,2
SABsubtilisSM20231,0.995677203,PRC,2,1
SABsubtilisSM20231,0.966731696,PRC,2,2
SABsubtilisSM20231,0.910378991,PRC,3,1
SABsubtilisSM20231,0.901669212,PRC,3,2
SABsubtilisSM20231,1,PRI,1,1
SABsubtilisSM20231,1,PRI,1,2
SABsubtilisSM20231,1,PRI,2,1
SABsubtilisSM20231,0.999141424,PRI,2,2
SABsubtilisSM20231,0.984329868,PRI,3,1
SABsubtilisSM20231,1,PRI,3,2
SABsubtilisSM20231,0.961558335,PUR,1,1
SABsubtilisSM20231,0.369460707,PUR,1,2
SABsubtilisSM20231,1,PUR,2,1
SABsubtilisSM20231,0.796031126,PUR,2,2
SABsubtilisSM20231,0.985900335,PUR,3,1
SABsubtilisSM20231,0.915577883,PUR,3,2
SABsubtilisSM20231,0.63940289,PYO,1,1
SABsubtilisSM20231,0.9083816,PYO,2,1
SABsubtilisSM20231,0.879599538,PYO,3,1
SABsubtilisSM20231,0.041272884,RIF,1,1
SABsubtilisSM20231,0.88336664,RIF,1,2
SABsubtilisSM20231,0.032762505,RIF,2,1
SABsubtilisSM20231,1,RIF,2,2
SABsubtilisSM20231,0.020370969,RIF,3,1
SABsubtilisSM20231,0.999702092,RIF,3,2
SABsubtilisSM20231,0.964159493,SMX,1,1
SABsubtilisSM20231,0.970721539,SMX,2,1
SABsubtilisSM20231,0.929259642,SMX,3,1
SABsubtilisSM20231,0.043145832,SMXTMP,1,1
SABsubtilisSM20231,0.0420962,SMXTMP,2,1
SABsubtilisSM20231,0.052916703,SMXTMP,3,1
SABsubtilisSM20231,0.901038861,SPT,1,1
SABsubtilisSM20231,0.057701943,SPT,1,2
SABsubtilisSM20231,1,SPT,2,1
SABsubtilisSM20231,0.573310338,SPT,2,2
SABsubtilisSM20231,0.980720677,SPT,3,1
SABsubtilisSM20231,0.781580452,SPT,3,2
SABsubtilisSM20231,0.257462932,STR,1,1
SABsubtilisSM20231,0.903573757,STR,2,1
SABsubtilisSM20231,0.929309701,STR,3,1
SABsubtilisSM20231,0.681144257,STZ,1,1
SABsubtilisSM20231,0.828806773,STZ,2,1
SABsubtilisSM20231,0.845598929,STZ,3,1
SABsubtilisSM20231,0.965700861,TEC,1,1
SABsubtilisSM20231,0.987490148,TEC,1,2
SABsubtilisSM20231,0.974680673,TEC,2,1
SABsubtilisSM20231,1,TEC,2,2
SABsubtilisSM20231,0.974780835,TEC,3,1
SABsubtilisSM20231,1,TEC,3,2
SABsubtilisSM20231,0.026666355,TEL,1,3
SABsubtilisSM20231,0.303770628,TEL,1,4
SABsubtilisSM20231,0.030075341,TEL,2,3
SABsubtilisSM20231,0.769773637,TEL,2,4
SABsubtilisSM20231,0.078646481,TEL,3,3
SABsubtilisSM20231,0.883345816,TEL,3,4
SABsubtilisSM20231,0.027837656,TGC,1,1
SABsubtilisSM20231,0.891339636,TGC,1,2
SABsubtilisSM20231,0.040904909,TGC,2,1
SABsubtilisSM20231,0.872198082,TGC,2,2
SABsubtilisSM20231,0.486420187,TGC,3,1
SABsubtilisSM20231,0.862477541,TGC,3,2
SABsubtilisSM20231,0.994504553,TPH,1,1
SABsubtilisSM20231,0.986326436,TPH,2,1
SABsubtilisSM20231,0.927765343,TPH,3,1
SABsubtilisSM20231,0.261056021,TZD,1,1
SABsubtilisSM20231,0.655691948,TZD,2,1
SABsubtilisSM20231,0.908965177,TZD,3,1
SABsubtilisSM20231,1,U1,1,2
SABsubtilisSM20231,1,U1,2,2
SABsubtilisSM20231,1,U1,3,1
SABsubtilisSM20231,1,U1,3,2
SABsubtilisSM20231,1,VAN,2,2
SABsubtilisSM20231,0.897582349,VIR,1,1
SABsubtilisSM20231,0.797903144,VIR,1,2
SABsubtilisSM20231,0.944893121,VIR,2,1
SABsubtilisSM20231,0.858635173,VIR,2,2
SABsubtilisSM20231,0.884097266,VIR,3,1
SABsubtilisSM20231,0.893246245,VIR,3,2
SABsubtilisSM20231,0.530748433,5FU,1,1
SABsubtilisSM20231,0.798067348,5FU,2,1
SABsubtilisSM20231,0.895965856,5FU,3,1
SABsubtilisSM20231,1,ALF,1,1
SABsubtilisSM20231,1,ALF,2,1
SABsubtilisSM20231,1,ALF,3,1
SABsubtilisSM20231,0.916778299,ATO,1,1
SABsubtilisSM20231,0.938128922,ATO,2,1
SABsubtilisSM20231,0.936578643,ATO,3,1
SABsubtilisSM20231,0.085425682,BBM,1,1
SABsubtilisSM20231,0.700772224,BBM,1,2
SABsubtilisSM20231,0.067093729,BBM,2,1
SABsubtilisSM20231,0.962570701,BBM,2,2
SABsubtilisSM20231,0.122874826,BBM,3,1
SABsubtilisSM20231,0.966308742,BBM,3,2
SABsubtilisSM20231,0.84652489,CEL,1,1
SABsubtilisSM20231,0.886897943,CEL,2,1
SABsubtilisSM20231,0.944602173,CEL,3,1
SABsubtilisSM20231,0.94940847,CLO,1,1
SABsubtilisSM20231,0.92528924,CLO,2,1
SABsubtilisSM20231,0.911931905,CLO,3,1
SABsubtilisSM20231,0.906662185,DBP,1,1
SABsubtilisSM20231,0.950884111,DBP,2,1
SABsubtilisSM20231,0.984913923,DBP,3,1
SABsubtilisSM20231,0.317741123,DFL,1,1
SABsubtilisSM20231,0.558023338,DFL,2,1
SABsubtilisSM20231,0.728600922,DFL,3,1
SABsubtilisSM20231,0.902852764,DIA,1,2
SABsubtilisSM20231,0.913944424,DIA,2,2
SABsubtilisSM20231,0.868598109,DIA,3,2
SABsubtilisSM20231,0.990871156,DIE,1,1
SABsubtilisSM20231,0.968366446,DIE,2,1
SABsubtilisSM20231,0.944544098,DIE,3,1
SABsubtilisSM20231,0.964763814,DKR,1,1
SABsubtilisSM20231,0.941473302,DKR,2,1
SABsubtilisSM20231,1,DKR,3,1
SABsubtilisSM20231,0.981245323,ENT,1,1
SABsubtilisSM20231,0.968565604,ENT,2,1
SABsubtilisSM20231,0.954635274,ENT,3,1
SABsubtilisSM20231,1,EST,1,1
SABsubtilisSM20231,1,EST,2,1
SABsubtilisSM20231,0.962987493,EST,3,1
SABsubtilisSM20231,1,FEL,1,1
SABsubtilisSM20231,0.98057107,FEL,2,1
SABsubtilisSM20231,0.97850704,FEL,3,1
SABsubtilisSM20231,0.92670054,GEF,1,1
SABsubtilisSM20231,0.895323764,GEF,2,1
SABsubtilisSM20231,0.898047686,GEF,3,1
SABsubtilisSM20231,0.603364698,HEX,1,2
SABsubtilisSM20231,0.898008319,HEX,2,2
SABsubtilisSM20231,0.979446823,HEX,3,2
SABsubtilisSM20231,0.917046514,LOR,1,1
SABsubtilisSM20231,1,LOR,2,1
SABsubtilisSM20231,1,LOR,3,1
SABsubtilisSM20231,1,LOS,1,1
SABsubtilisSM20231,1,LOS,2,1
SABsubtilisSM20231,1,LOS,3,1
SABsubtilisSM20231,0.919001399,LOX,1,1
SABsubtilisSM20231,0.984482537,LOX,2,1
SABsubtilisSM20231,0.994667106,LOX,3,1
SABsubtilisSM20231,0.966580733,OME,1,1
SABsubtilisSM20231,0.9765236,OME,2,1
SABsubtilisSM20231,0.98633048,OME,3,1
SABsubtilisSM20231,1,PRO,1,1
SABsubtilisSM20231,0.999321805,PRO,2,1
SABsubtilisSM20231,0.940650108,PRO,3,1
SABsubtilisSM20231,1,QUE,1,1
SABsubtilisSM20231,0.973046998,QUE,2,1
SABsubtilisSM20231,0.990960688,QUE,3,1
SABsubtilisSM20231,0.059693503,RFX,1,1
SABsubtilisSM20231,0.084864764,RFX,2,1
SABsubtilisSM20231,0.574885021,RFX,3,1
SABsubtilisSM20231,0.943899817,SPI,1,1
SABsubtilisSM20231,1,SPI,1,2
SABsubtilisSM20231,0.948635765,SPI,2,1
SABsubtilisSM20231,0.997032122,SPI,2,2
SABsubtilisSM20231,0.955371854,SPI,3,1
SABsubtilisSM20231,1,SPI,3,2
SABsubtilisSM20231,0.956986613,SUC,1,1
SABsubtilisSM20231,1,SUC,1,2
SABsubtilisSM20231,0.980720824,SUC,2,1
SABsubtilisSM20231,1,SUC,2,2
SABsubtilisSM20231,0.901919854,SUC,3,1
SABsubtilisSM20231,1,SUC,3,2
SABsubtilisSM20231,0.972616857,TAM,1,1
SABsubtilisSM20231,0.974920395,TAM,1,2
SABsubtilisSM20231,0.993189786,TAM,2,1
SABsubtilisSM20231,0.913142808,TAM,2,2
SABsubtilisSM20231,0.977151831,TAM,3,1
SABsubtilisSM20231,0.922417032,TAM,3,2
SABsubtilisSM20231,0.755478983,TIC,1,1
SABsubtilisSM20231,0.649179369,TIC,1,2
SABsubtilisSM20231,0.930559088,TIC,2,1
SABsubtilisSM20231,0.77520668,TIC,2,2
SABsubtilisSM20231,0.991414461,TIC,3,1
SABsubtilisSM20231,0.899468531,TIC,3,2
SABsubtilisSM20231,0.455710652,TOL,1,1
SABsubtilisSM20231,0.349625421,TOL,1,2
SABsubtilisSM20231,0.757801617,TOL,2,1
SABsubtilisSM20231,0.599007898,TOL,2,2
SABsubtilisSM20231,0.84528329,TOL,3,1
SABsubtilisSM20231,0.771251299,TOL,3,2
SABsubtilisSM20231,0.065247844,ADEP,1,3
SABsubtilisSM20231,0.588285736,ADEP,1,4
SABsubtilisSM20231,0.136029608,ADEP,2,3
SABsubtilisSM20231,0.978113179,ADEP,2,4
SABsubtilisSM20231,0.667640145,ADEP,3,3
SABsubtilisSM20231,0.968797352,ADEP,3,4
SABsubtilisSM20231,0.957314922,ALF,1,2
SABsubtilisSM20231,0.976876052,ALF,2,2
SABsubtilisSM20231,0.979942243,ALF,3,2
SABsubtilisSM20231,1,ALL,1,1
SABsubtilisSM20231,1,ALL,2,1
SABsubtilisSM20231,0.988731323,ALL,3,1
SABsubtilisSM20231,0.906894515,ATO,1,2
SABsubtilisSM20231,0.930946324,ATO,2,2
SABsubtilisSM20231,0.902235877,ATO,3,2
SABsubtilisSM20231,0.851399145,BBM,1,2
SABsubtilisSM20231,0.980400477,BBM,2,2
SABsubtilisSM20231,0.996607812,BBM,3,2
SABsubtilisSM20231,0.93204349,CAF,1,2
SABsubtilisSM20231,0.93204349,CAF,1,2
SABsubtilisSM20231,0.763302806,CAF,3,1
SABsubtilisSM20231,0.881571543,CAF,3,2
SABsubtilisSM20231,0.994496798,CEL,1,2
SABsubtilisSM20231,0.956622024,CEL,2,2
SABsubtilisSM20231,1,CEL,3,2
SABsubtilisSM20231,0.922350404,CIL,1,1
SABsubtilisSM20231,0.896032258,CIL,1,2
SABsubtilisSM20231,0.920962569,CIL,2,1
SABsubtilisSM20231,0.892825476,CIL,2,2
SABsubtilisSM20231,0.920267382,CIL,3,2
SABsubtilisSM20231,0.030769565,CLM,1,1
SABsubtilisSM20231,0.344446656,CLM,1,2
SABsubtilisSM20231,0.066590891,CLM,2,1
SABsubtilisSM20231,0.661377383,CLM,2,2
SABsubtilisSM20231,0.752650925,CLM,3,1
SABsubtilisSM20231,0.783955709,CLM,3,2
SABsubtilisSM20231,1,CLO,1,2
SABsubtilisSM20231,1,CLO,2,2
SABsubtilisSM20231,1,CLO,3,2
SABsubtilisSM20231,0.951389392,CPR,1,1
SABsubtilisSM20231,0.958837617,CPR,1,2
SABsubtilisSM20231,0.93658311,CPR,2,1
SABsubtilisSM20231,0.931731155,CPR,2,2
SABsubtilisSM20231,0.949194914,CPR,3,1
SABsubtilisSM20231,0.898946805,CPR,3,2
SABsubtilisSM20231,0.371908261,DFL,1,2
SABsubtilisSM20231,0.212269236,DFL,2,2
SABsubtilisSM20231,0.647948089,DFL,3,2
SABsubtilisSM20231,0.883282668,ENT,1,2
SABsubtilisSM20231,0.883282668,ENT,1,2
SABsubtilisSM20231,0.910505136,ENT,3,2
SABsubtilisSM20231,0.882803467,EST,1,2
SABsubtilisSM20231,0.890826595,EST,2,2
SABsubtilisSM20231,0.933982049,EST,3,2
SABsubtilisSM20231,1,FEL,2,2
SABsubtilisSM20231,0.99909884,FEL,3,2
SABsubtilisSM20231,1,GEF,1,2
SABsubtilisSM20231,1,GEF,2,2
SABsubtilisSM20231,1,GEF,3,2
SABsubtilisSM20231,0.776918655,GLY,3,1
SABsubtilisSM20231,0.609749419,IBU,1,1
SABsubtilisSM20231,0.85325164,IBU,2,1
SABsubtilisSM20231,0.998385483,IBU,3,1
SABsubtilisSM20231,0.955820358,LOR,1,2
SABsubtilisSM20231,0.838019846,LOR,2,2
SABsubtilisSM20231,0.945996895,LOR,3,2
SABsubtilisSM20231,0.938245095,LOS,1,2
SABsubtilisSM20231,0.940944572,LOS,2,2
SABsubtilisSM20231,0.96463731,LOS,3,2
SABsubtilisSM20231,0.9570515,MEC,1,1
SABsubtilisSM20231,1,MEC,1,2
SABsubtilisSM20231,0.971886112,MEC,2,1
SABsubtilisSM20231,1,MEC,2,2
SABsubtilisSM20231,0.983864064,MEC,3,1
SABsubtilisSM20231,1,MEC,3,2
SABsubtilisSM20231,0.990903717,MON,1,1
SABsubtilisSM20231,0.888541179,MON,1,2
SABsubtilisSM20231,1,MON,2,1
SABsubtilisSM20231,0.871775018,MON,2,2
SABsubtilisSM20231,0.85326923,MON,3,2
SABsubtilisSM20231,0.968197574,MPD,1,1
SABsubtilisSM20231,0.916909356,MPD,1,2
SABsubtilisSM20231,0.976052842,MPD,2,1
SABsubtilisSM20231,0.894639893,MPD,2,2
SABsubtilisSM20231,0.966503083,MPD,3,1
SABsubtilisSM20231,0.868890169,MPD,3,2
SABsubtilisSM20231,0.906894806,MSM,1,1
SABsubtilisSM20231,0.928008426,MSM,2,1
SABsubtilisSM20231,0.921338239,MSM,3,1
SABsubtilisSM20231,0.985528816,MTF,1,1
SABsubtilisSM20231,0.966692377,MTF,2,1
SABsubtilisSM20231,1,MTF,2,2
SABsubtilisSM20231,0.984384284,MTF,3,1
SABsubtilisSM20231,1,MTF,3,2
SABsubtilisSM20231,0.744621373,MTX,1,1
SABsubtilisSM20231,0.810832063,MTX,2,1
SABsubtilisSM20231,0.833113683,MTX,3,1
SABsubtilisSM20231,0.798581282,NAP,1,1
SABsubtilisSM20231,0.964987634,NAP,2,1
SABsubtilisSM20231,1,NAP,3,1
SABsubtilisSM20231,0.959751211,NIC,1,2
SABsubtilisSM20231,0.953251423,NIC,2,2
SABsubtilisSM20231,0.889901605,NIC,3,1
SABsubtilisSM20231,0.967205229,NIC,3,2
SABsubtilisSM20231,0.840992129,OXY,1,1
SABsubtilisSM20231,0.977606617,OXY,2,1
SABsubtilisSM20231,1,OXY,3,1
SABsubtilisSM20231,0.029726432,PHE,1,2
SABsubtilisSM20231,0.051973597,PHE,2,2
SABsubtilisSM20231,0.330682652,PHE,3,2
SABsubtilisSM20231,1,SML,1,1
SABsubtilisSM20231,1,SML,2,1
SABsubtilisSM20231,1,SML,3,1
SABsubtilisSM20231,0.040292478,SUL,1,1
SABsubtilisSM20231,0.031100623,SUL,2,1
SABsubtilisSM20231,0.456287191,SUL,3,1
SABsubtilisSM20231,0.988560709,THY,1,2
SABsubtilisSM20231,1,THY,2,2
SABsubtilisSM20231,0.786631826,THY,3,1
SABsubtilisSM20231,0.981554503,THY,3,2
SABsubtilisSM20231,1,TIR,1,1
SABsubtilisSM20231,0.991392216,TIR,1,2
SABsubtilisSM20231,1,TIR,2,1
SABsubtilisSM20231,0.974073792,TIR,2,2
SABsubtilisSM20231,1,TIR,3,1
SABsubtilisSM20231,0.96493064,TIR,3,2
SABsubtilisSM20231,0.910440114,TLM,1,1
SABsubtilisSM20231,0.921055996,TLM,2,1
SABsubtilisSM20231,0.938764608,TLM,3,1
SABsubtilisSM20231,1,TRO,1,1
SABsubtilisSM20231,1,TRO,3,1
SABsubtilisSM20231,1,VPM,1,1
SABsubtilisSM20231,1,VPM,2,1
SABsubtilisSM20231,0.977635031,VPM,3,1
Bsubtilis,0.071511642,AMX,1,1
Bsubtilis,0.060752822,AMX,2,1
Bsubtilis,0.051956684,AMX,3,1
Bsubtilis,0.057004972,AUR,1,1
Bsubtilis,0.040067548,AUR,2,1
Bsubtilis,0.04389211,AUR,3,1
Bsubtilis,0.367639973,AZM,1,1
Bsubtilis,0.747793048,AZM,2,1
Bsubtilis,0.825777646,AZM,3,1
Bsubtilis,0.868399104,BAC,1,1
Bsubtilis,0.955263536,BAC,2,1
Bsubtilis,0.959039678,BAC,3,1
Bsubtilis,0.032853873,BZK,1,1
Bsubtilis,0.197596595,BZK,2,1
Bsubtilis,0.859517194,BZK,3,1
Bsubtilis,0.952883627,CA,1,1
Bsubtilis,0.950717269,CA,2,1
Bsubtilis,0.895394239,CA,3,1
Bsubtilis,0.037740288,CCCP,1,1
Bsubtilis,0.054317679,CCCP,2,1
Bsubtilis,0.176286267,CCCP,3,1
Bsubtilis,0.132862052,CHL,1,1
Bsubtilis,0.404646853,CHL,2,1
Bsubtilis,0.785433612,CHL,3,1
Bsubtilis,0.097036595,CIP,1,1
Bsubtilis,0.657286902,CIP,2,1
Bsubtilis,0.938212498,CIP,3,1
Bsubtilis,0.725358029,CLA,1,1
Bsubtilis,0.868432457,CLA,2,1
Bsubtilis,0.993485607,CLA,3,1
Bsubtilis,0.31688774,CLI,1,1
Bsubtilis,0.398077804,CLI,2,1
Bsubtilis,0.520727921,CLI,3,1
Bsubtilis,0.04826114,CLR,1,1
Bsubtilis,0.030898101,CLR,2,1
Bsubtilis,0.07860029,CLR,3,1
Bsubtilis,0.331714148,CTC,1,1
Bsubtilis,0.614806293,CTC,2,1
Bsubtilis,0.789076223,CTC,3,1
Bsubtilis,0.156732381,CTX,1,1
Bsubtilis,0.189789893,CTX,2,1
Bsubtilis,0.358955674,CTX,3,1
Bsubtilis,0.62503527,CXA,1,1
Bsubtilis,0.796527042,CXA,2,1
Bsubtilis,0.897551821,CXA,3,1
Bsubtilis,0.71056192,DAP,1,1
Bsubtilis,0.918360257,DAP,2,1
Bsubtilis,0.963106674,DAP,3,1
Bsubtilis,0.798483584,DCS,1,1
Bsubtilis,0.901603426,DCS,2,1
Bsubtilis,0.965037732,DCS,3,1
Bsubtilis,0.204320638,DOX,1,1
Bsubtilis,0.678175207,DOX,2,1
Bsubtilis,0.954726787,DOX,3,1
Bsubtilis,0.522474272,DXR,1,1
Bsubtilis,0.88559969,DXR,2,1
Bsubtilis,0.884366375,DXR,3,1
Bsubtilis,0.137052939,EGCG,1,1
Bsubtilis,0.39794657,EGCG,2,1
Bsubtilis,0.953228368,EGCG,3,1
Bsubtilis,0.089804447,ERI,1,1
Bsubtilis,0.729836629,ERI,1,2
Bsubtilis,0.068375396,ERI,2,1
Bsubtilis,0.907590737,ERI,2,2
Bsubtilis,0.112939025,ERI,3,1
Bsubtilis,0.966710946,ERI,3,2
Bsubtilis,0.308064591,FEP,1,1
Bsubtilis,0.490191311,FEP,2,1
Bsubtilis,0.738868242,FEP,3,1
Bsubtilis,0.254294884,FOF,1,1
Bsubtilis,0.516045237,FOF,2,1
Bsubtilis,0.626199931,FOF,3,1
Bsubtilis,0.06457769,FUS,1,1
Bsubtilis,0.700395131,FUS,1,2
Bsubtilis,0.081518584,FUS,2,1
Bsubtilis,0.925548903,FUS,2,2
Bsubtilis,0.20577206,FUS,3,1
Bsubtilis,0.931698042,FUS,3,2
Bsubtilis,0.058205756,GEN,1,1
Bsubtilis,0.206981243,GEN,2,1
Bsubtilis,0.866535312,GEN,3,1
Bsubtilis,0.107588521,IPM,1,1
Bsubtilis,0.608375842,IPM,2,1
Bsubtilis,0.877862462,IPM,3,1
Bsubtilis,0.047948977,LCX,1,1
Bsubtilis,0.043213027,LCX,2,1
Bsubtilis,0.048115887,LCX,3,1
Bsubtilis,0.874122783,LEX,1,1
Bsubtilis,0.90600353,LEX,2,1
Bsubtilis,0.937341183,LEX,3,1
Bsubtilis,0.94608713,LIN,1,1
Bsubtilis,0.979798151,LIN,2,1
Bsubtilis,0.94601613,LIN,3,1
Bsubtilis,0.028267461,LOP,1,1
Bsubtilis,0.03678677,LOP,2,1
Bsubtilis,0.687019665,LOP,3,1
Bsubtilis,0.041475342,LZD,1,1
Bsubtilis,0.063489775,LZD,2,1
Bsubtilis,0.493438963,LZD,3,1
Bsubtilis,0.039877456,MCZ,1,1
Bsubtilis,0.046442545,MCZ,2,1
Bsubtilis,0.351973243,MCZ,3,1
Bsubtilis,0.043803751,MMC,1,1
Bsubtilis,0.055399976,MMC,2,1
Bsubtilis,0.449528161,MMC,3,1
Bsubtilis,0.970344815,MTR,1,1
Bsubtilis,1,MTR,2,1
Bsubtilis,1,MTR,3,1
Bsubtilis,0.023014785,MUP,1,1
Bsubtilis,0.030124966,MUP,2,1
Bsubtilis,0.11545725,MUP,3,1
Bsubtilis,0.029706152,MXF,1,1
Bsubtilis,0.038643056,MXF,2,1
Bsubtilis,0.036337192,MXF,3,1
Bsubtilis,0.037253684,NIT,1,1
Bsubtilis,0.05196425,NIT,2,1
Bsubtilis,0.458658439,NIT,3,1
Bsubtilis,0.413013496,NSN,1,1
Bsubtilis,0.775414257,NSN,2,1
Bsubtilis,0.894895116,NSN,3,1
Bsubtilis,1,NVB,1,1
Bsubtilis,0.961955226,NVB,2,1
Bsubtilis,1,NVB,3,1
Bsubtilis,0.023085944,ORI,1,1
Bsubtilis,0.028177936,ORI,2,1
Bsubtilis,0.052632868,ORI,3,1
Bsubtilis,0.845637169,OXA,1,1
Bsubtilis,0.929327013,OXA,2,1
Bsubtilis,0.965215612,OXA,3,1
Bsubtilis,0.02576405,PEN,1,1
Bsubtilis,0.761419122,PEN,3,1
Bsubtilis,0.104095978,PLM,1,1
Bsubtilis,0.657824085,PLM,2,1
Bsubtilis,0.841554571,PLM,3,1
Bsubtilis,0.726503056,PQ,1,1
Bsubtilis,0.91349503,PQ,2,1
Bsubtilis,0.979994866,PQ,3,1
Bsubtilis,0.865780123,PRC,1,1
Bsubtilis,0.914935083,PRC,2,1
Bsubtilis,0.961090885,PRC,3,1
Bsubtilis,0.85956401,PRI,1,1
Bsubtilis,0.966924753,PRI,2,1
Bsubtilis,0.970780373,PRI,3,1
Bsubtilis,0.861626056,PUR,1,1
Bsubtilis,0.929480549,PUR,2,1
Bsubtilis,0.932697048,PUR,3,1
Bsubtilis,0.691018948,PYO,1,1
Bsubtilis,0.878263215,PYO,2,1
Bsubtilis,0.974723565,PYO,3,1
Bsubtilis,0.174457737,RIF,1,1
Bsubtilis,0.718267291,RIF,2,1
Bsubtilis,0.92860583,RIF,3,1
Bsubtilis,0.979552958,SMX,1,1
Bsubtilis,0.947939225,SMX,2,1
Bsubtilis,0.985130292,SMX,3,1
Bsubtilis,0.913726666,SPT,1,1
Bsubtilis,1,SPT,2,1
Bsubtilis,1,SPT,3,1
Bsubtilis,0.070601891,STR,1,1
Bsubtilis,0.091710565,STR,1,2
Bsubtilis,0.484627638,STR,2,1
Bsubtilis,0.344065606,STR,2,2
Bsubtilis,0.95445922,STR,3,1
Bsubtilis,0.939464078,STR,3,2
Bsubtilis,0.041395517,TEC,1,1
Bsubtilis,0.199524912,TEC,2,1
Bsubtilis,0.838451488,TEC,3,1
Bsubtilis,0.070553148,TEL,1,1
Bsubtilis,0.035640335,TEL,1,2
Bsubtilis,0.035480146,TEL,2,1
Bsubtilis,0.042155196,TEL,2,2
Bsubtilis,0.083323623,TEL,3,1
Bsubtilis,0.057597855,TEL,3,2
Bsubtilis,0.972259544,TGC,1,1
Bsubtilis,0.991811555,TGC,2,1
Bsubtilis,1,TGC,3,1
Bsubtilis,0.355878026,TMP,1,1
Bsubtilis,0.318345423,TMP,1,2
Bsubtilis,0.433630223,TMP,2,1
Bsubtilis,0.343407637,TMP,2,2
Bsubtilis,0.485756493,TMP,3,1
Bsubtilis,0.390978625,TMP,3,2
Bsubtilis,0.028932254,TRI,1,1
Bsubtilis,0.039946842,TRI,2,1
Bsubtilis,0.042045498,TRI,3,1
Bsubtilis,0.31239512,TZD,1,1
Bsubtilis,0.806930566,TZD,2,1
Bsubtilis,0.968132545,TZD,3,1
Bsubtilis,0.949687768,U1,1,1
Bsubtilis,0.8969027,U1,2,1
Bsubtilis,0.939063951,U1,3,1
Bsubtilis,0.038008395,VAN,1,1
Bsubtilis,0.036556623,VAN,2,1
Bsubtilis,0.775755725,VAN,3,1
Bsubtilis,0.956791701,VIR,1,1
Bsubtilis,0.926557074,VIR,2,1
Bsubtilis,1,VIR,3,1
Bsubtilis,0.288567764,AMX,1,1
Bsubtilis,0.088521329,AMX,1,2
Bsubtilis,0.106595796,AMX,1,3
Bsubtilis,0.106595796,AMX,1,3
Bsubtilis,0.719167928,AMX,2,1
Bsubtilis,0.075643641,AMX,2,2
Bsubtilis,0.582290101,AMX,2,3
Bsubtilis,0.582290101,AMX,2,3
Bsubtilis,0.842507421,AMX,3,1
Bsubtilis,0.309836773,AMX,3,2
Bsubtilis,0.763217612,AMX,3,3
