Drug A,Drug B,Strain,Bliss Score,p-value,Interaction Type,Drug A Inchikey,Drug B Inchikey,Specie,Drug Pair
polymyxin b,curcumin,escherichia coli iai1,-0.6242,,,WQVJHHACXVLGBL-BPJDFBQWSA-N,VFLDPWHFBUODDF-FCXRPNKRSA-N,escherichia coli,"('VFLDPWHFBUODDF-FCXRPNKRSA-N', 'WQVJHHACXVLGBL-BPJDFBQWSA-N')"
polymyxin b,triclosan,escherichia coli iai1,-0.3801,,,WQVJHHACXVLGBL-BPJDFBQWSA-N,XEFQLINVKFYRCS-UHFFFAOYSA-N,escherichia coli,"('WQVJHHACXVLGBL-BPJDFBQWSA-N', 'XEFQLINVKFYRCS-UHFFFAOYSA-N')"
fusidic acid,puromycin,escherichia coli iai1,-0.2101,,,IECPWNUMDGFDKC-MZJAQBGESA-N,RXWNCPJZOCPEPQ-NVWDDTSBSA-N,escherichia coli,"('IECPWNUMDGFDKC-MZJAQBGESA-N', 'RXWNCPJZOCPEPQ-NVWDDTSBSA-N')"
cefotaxime,cefsulodin,escherichia coli iai1,-0.4967,0.001463305,Synergy,GPRBEKHLDVQUJE-QSWIMTSFSA-N,SYLKGLMBLAAGSC-QLVMHMETSA-N,escherichia coli,"('GPRBEKHLDVQUJE-QSWIMTSFSA-N', 'SYLKGLMBLAAGSC-QLVMHMETSA-N')"
benzalkonium,sulfamonomethoxine,escherichia coli iai1,0.0578,,,VVZBFOKBSDGVGZ-UHFFFAOYSA-N,WMPXPUYPYQKQCX-UHFFFAOYSA-N,escherichia coli,"('VVZBFOKBSDGVGZ-UHFFFAOYSA-N', 'WMPXPUYPYQKQCX-UHFFFAOYSA-N')"
cefaclor,cefsulodin,escherichia coli iai1,-0.557,0.001463305,Synergy,QYIYFLOTGYLRGG-GPCCPHFNSA-N,SYLKGLMBLAAGSC-QLVMHMETSA-N,escherichia coli,"('QYIYFLOTGYLRGG-GPCCPHFNSA-N', 'SYLKGLMBLAAGSC-QLVMHMETSA-N')"
cefaclor,bleomycin,escherichia coli iai1,-0.143,0.001463305,Synergy,QYIYFLOTGYLRGG-GPCCPHFNSA-N,OYVAGSVQBOHSSS-WXFSZRTFSA-O,escherichia coli,"('OYVAGSVQBOHSSS-WXFSZRTFSA-O', 'QYIYFLOTGYLRGG-GPCCPHFNSA-N')"
cefsulodin,mecillinam,escherichia coli iai1,-0.4126,0.001813026,Synergy,SYLKGLMBLAAGSC-QLVMHMETSA-N,BWWVAEOLVKTZFQ-NTZNESFSSA-N,escherichia coli,"('BWWVAEOLVKTZFQ-NTZNESFSSA-N', 'SYLKGLMBLAAGSC-QLVMHMETSA-N')"
cefsulodin,imipenem,escherichia coli iai1,-0.0714,,,SYLKGLMBLAAGSC-QLVMHMETSA-N,ZSKVGTPCRGIANV-ZXFLCMHBSA-N,escherichia coli,"('SYLKGLMBLAAGSC-QLVMHMETSA-N', 'ZSKVGTPCRGIANV-ZXFLCMHBSA-N')"
clindamycin,trimethoprim,escherichia coli iai1,-0.0927,,,KDLRVYVGXIQJDK-AWPVFWJPSA-N,IEDVJHCEMCRBQM-UHFFFAOYSA-N,escherichia coli,"('IEDVJHCEMCRBQM-UHFFFAOYSA-N', 'KDLRVYVGXIQJDK-AWPVFWJPSA-N')"
spiramycin,colistin,escherichia coli iai1,-0.5228,0.043361123,Synergy,ACTOXUHEUCPTEW-CEUOBAOPSA-N,YKQOSKADJPQZHB-RGYSVOEGSA-N,escherichia coli,"('ACTOXUHEUCPTEW-CEUOBAOPSA-N', 'YKQOSKADJPQZHB-RGYSVOEGSA-N')"
erythromycin,egcg,escherichia coli iai1,0.0427,,,ULGZDMOVFRHVEP-RWJQBGPGSA-N,WMBWREPUVVBILR-WIYYLYMNSA-N,escherichia coli,"('ULGZDMOVFRHVEP-RWJQBGPGSA-N', 'WMBWREPUVVBILR-WIYYLYMNSA-N')"
trimethoprim,mecillinam,escherichia coli iai1,0.0911,,,IEDVJHCEMCRBQM-UHFFFAOYSA-N,BWWVAEOLVKTZFQ-NTZNESFSSA-N,escherichia coli,"('BWWVAEOLVKTZFQ-NTZNESFSSA-N', 'IEDVJHCEMCRBQM-UHFFFAOYSA-N')"
trimethoprim,imipenem,escherichia coli iai1,-0.0668,,,IEDVJHCEMCRBQM-UHFFFAOYSA-N,ZSKVGTPCRGIANV-ZXFLCMHBSA-N,escherichia coli,"('IEDVJHCEMCRBQM-UHFFFAOYSA-N', 'ZSKVGTPCRGIANV-ZXFLCMHBSA-N')"
sulfamonomethoxine,rifampicin,escherichia coli iai1,-0.1113,,,WMPXPUYPYQKQCX-UHFFFAOYSA-N,JQXXHWHPUNPDRT-WLSIYKJHSA-N,escherichia coli,"('JQXXHWHPUNPDRT-WLSIYKJHSA-N', 'WMPXPUYPYQKQCX-UHFFFAOYSA-N')"
procaine,puromycin,escherichia coli iai1,-0.576,0.001463305,Synergy,MFDFERRIHVXMIY-UHFFFAOYSA-N,RXWNCPJZOCPEPQ-NVWDDTSBSA-N,escherichia coli,"('MFDFERRIHVXMIY-UHFFFAOYSA-N', 'RXWNCPJZOCPEPQ-NVWDDTSBSA-N')"
procaine,bleomycin,escherichia coli iai1,-0.4444,0.001463305,Synergy,MFDFERRIHVXMIY-UHFFFAOYSA-N,OYVAGSVQBOHSSS-WXFSZRTFSA-O,escherichia coli,"('MFDFERRIHVXMIY-UHFFFAOYSA-N', 'OYVAGSVQBOHSSS-WXFSZRTFSA-O')"
nitrofurantoin,bleomycin,escherichia coli iai1,-0.319,0.001463305,Synergy,NXFQHRVNIOXGAQ-YCRREMRBSA-N,OYVAGSVQBOHSSS-WXFSZRTFSA-O,escherichia coli,"('NXFQHRVNIOXGAQ-YCRREMRBSA-N', 'OYVAGSVQBOHSSS-WXFSZRTFSA-O')"
mecillinam,a22,escherichia coli iai1,-0.0874,,,BWWVAEOLVKTZFQ-NTZNESFSSA-N,LZTCFLDZLBOLDW-UHFFFAOYSA-N,escherichia coli,"('BWWVAEOLVKTZFQ-NTZNESFSSA-N', 'LZTCFLDZLBOLDW-UHFFFAOYSA-N')"
mecillinam,bleomycin,escherichia coli iai1,-0.1384,,,BWWVAEOLVKTZFQ-NTZNESFSSA-N,OYVAGSVQBOHSSS-WXFSZRTFSA-O,escherichia coli,"('BWWVAEOLVKTZFQ-NTZNESFSSA-N', 'OYVAGSVQBOHSSS-WXFSZRTFSA-O')"
a22,bleomycin,escherichia coli iai1,-0.2233,0.001463305,Synergy,LZTCFLDZLBOLDW-UHFFFAOYSA-N,OYVAGSVQBOHSSS-WXFSZRTFSA-O,escherichia coli,"('LZTCFLDZLBOLDW-UHFFFAOYSA-N', 'OYVAGSVQBOHSSS-WXFSZRTFSA-O')"
minocycline,egcg,escherichia coli iai1,-0.0494,,,WTJXVDPDEQKTCV-VQAITOIOSA-N,WMBWREPUVVBILR-WIYYLYMNSA-N,escherichia coli,"('WMBWREPUVVBILR-WIYYLYMNSA-N', 'WTJXVDPDEQKTCV-VQAITOIOSA-N')"
tobramycin,puromycin,escherichia coli iai1,-0.1939,,,NLVFBUXFDBBNBW-PBSUHMDJSA-N,RXWNCPJZOCPEPQ-NVWDDTSBSA-N,escherichia coli,"('NLVFBUXFDBBNBW-PBSUHMDJSA-N', 'RXWNCPJZOCPEPQ-NVWDDTSBSA-N')"
egcg,ciclopirox,escherichia coli iai1,-0.3124,0.006963072,Synergy,WMBWREPUVVBILR-WIYYLYMNSA-N,SCKYRAXSEDYPSA-UHFFFAOYSA-N,escherichia coli,"('SCKYRAXSEDYPSA-UHFFFAOYSA-N', 'WMBWREPUVVBILR-WIYYLYMNSA-N')"
rifampicin,curcumin,escherichia coli iai1,-0.0857,,,JQXXHWHPUNPDRT-WLSIYKJHSA-N,VFLDPWHFBUODDF-FCXRPNKRSA-N,escherichia coli,"('JQXXHWHPUNPDRT-WLSIYKJHSA-N', 'VFLDPWHFBUODDF-FCXRPNKRSA-N')"
aztreonam,penicillin g,escherichia coli iai1,-0.25,0.001463305,Synergy,WZPBZJONDBGPKJ-VEHQQRBSSA-N,JGSARLDLIJGVTE-MBNYWOFBSA-N,escherichia coli,"('JGSARLDLIJGVTE-MBNYWOFBSA-N', 'WZPBZJONDBGPKJ-VEHQQRBSSA-N')"
ciprofloxacin,amikacin,escherichia coli iai1,-0.1169,0.024022598,Synergy,MYSWGUAQZAJSOK-UHFFFAOYSA-N,LKCWBDHBTVXHDL-RMDFUYIESA-N,escherichia coli,"('LKCWBDHBTVXHDL-RMDFUYIESA-N', 'MYSWGUAQZAJSOK-UHFFFAOYSA-N')"
cefsulodin,levofloxacin,escherichia coli iai1,-0.189,0.025019762,Synergy,SYLKGLMBLAAGSC-QLVMHMETSA-N,GSDSWSVVBLHKDQ-JTQLQIEISA-N,escherichia coli,"('GSDSWSVVBLHKDQ-JTQLQIEISA-N', 'SYLKGLMBLAAGSC-QLVMHMETSA-N')"
trimethoprim,meropenem,escherichia coli iai1,-0.0952,,,IEDVJHCEMCRBQM-UHFFFAOYSA-N,DMJNNHOOLUXYBV-PQTSNVLCSA-N,escherichia coli,"('DMJNNHOOLUXYBV-PQTSNVLCSA-N', 'IEDVJHCEMCRBQM-UHFFFAOYSA-N')"
mecillinam,doxorubicin,escherichia coli iai1,-0.0862,,,BWWVAEOLVKTZFQ-NTZNESFSSA-N,AOJJSUZBOXZQNB-TZSSRYMLSA-N,escherichia coli,"('AOJJSUZBOXZQNB-TZSSRYMLSA-N', 'BWWVAEOLVKTZFQ-NTZNESFSSA-N')"
aztreonam,doxorubicin,escherichia coli iai1,-0.1319,,,WZPBZJONDBGPKJ-VEHQQRBSSA-N,AOJJSUZBOXZQNB-TZSSRYMLSA-N,escherichia coli,"('AOJJSUZBOXZQNB-TZSSRYMLSA-N', 'WZPBZJONDBGPKJ-VEHQQRBSSA-N')"
puromycin,gentamicin,escherichia coli iai1,-0.1069,,,RXWNCPJZOCPEPQ-NVWDDTSBSA-N,CEAZRRDELHUEMR-UHFFFAOYSA-N,escherichia coli,"('CEAZRRDELHUEMR-UHFFFAOYSA-N', 'RXWNCPJZOCPEPQ-NVWDDTSBSA-N')"
bleomycin,moxifloxacin,escherichia coli iai1,-0.1693,,,OYVAGSVQBOHSSS-WXFSZRTFSA-O,FABPRXSRWADJSP-MEDUHNTESA-N,escherichia coli,"('FABPRXSRWADJSP-MEDUHNTESA-N', 'OYVAGSVQBOHSSS-WXFSZRTFSA-O')"
amoxicillin,procaine,escherichia coli iai1,0.2618,0.001463305,Antagonism,LSQZJLSUYDQPKJ-NJBDSQKTSA-N,MFDFERRIHVXMIY-UHFFFAOYSA-N,escherichia coli,"('LSQZJLSUYDQPKJ-NJBDSQKTSA-N', 'MFDFERRIHVXMIY-UHFFFAOYSA-N')"
amoxicillin,vanillin,escherichia coli iai1,0.4879,0.001463305,Antagonism,LSQZJLSUYDQPKJ-NJBDSQKTSA-N,MWOOGOJBHIARFG-UHFFFAOYSA-N,escherichia coli,"('LSQZJLSUYDQPKJ-NJBDSQKTSA-N', 'MWOOGOJBHIARFG-UHFFFAOYSA-N')"
amoxicillin,caffeine,escherichia coli iai1,0.0642,,,LSQZJLSUYDQPKJ-NJBDSQKTSA-N,RYYVLZVUVIJVGH-UHFFFAOYSA-N,escherichia coli,"('LSQZJLSUYDQPKJ-NJBDSQKTSA-N', 'RYYVLZVUVIJVGH-UHFFFAOYSA-N')"
amoxicillin,metformin,escherichia coli iai1,0.175,,,LSQZJLSUYDQPKJ-NJBDSQKTSA-N,XZWYZXLIPXDOLR-UHFFFAOYSA-N,escherichia coli,"('LSQZJLSUYDQPKJ-NJBDSQKTSA-N', 'XZWYZXLIPXDOLR-UHFFFAOYSA-N')"
chloramphenicol,mecillinam,escherichia coli iai1,0.2435,0.045840486,Antagonism,WIIZWVCIJKGZOK-RKDXNWHRSA-N,BWWVAEOLVKTZFQ-NTZNESFSSA-N,escherichia coli,"('BWWVAEOLVKTZFQ-NTZNESFSSA-N', 'WIIZWVCIJKGZOK-RKDXNWHRSA-N')"
chloramphenicol,imipenem,escherichia coli iai1,0.1786,0.017498889,Antagonism,WIIZWVCIJKGZOK-RKDXNWHRSA-N,ZSKVGTPCRGIANV-ZXFLCMHBSA-N,escherichia coli,"('WIIZWVCIJKGZOK-RKDXNWHRSA-N', 'ZSKVGTPCRGIANV-ZXFLCMHBSA-N')"
chloramphenicol,metformin,escherichia coli iai1,0.2296,0.001463305,Antagonism,WIIZWVCIJKGZOK-RKDXNWHRSA-N,XZWYZXLIPXDOLR-UHFFFAOYSA-N,escherichia coli,"('WIIZWVCIJKGZOK-RKDXNWHRSA-N', 'XZWYZXLIPXDOLR-UHFFFAOYSA-N')"
ciprofloxacin,procaine,escherichia coli iai1,0.202,0.001463305,Antagonism,MYSWGUAQZAJSOK-UHFFFAOYSA-N,MFDFERRIHVXMIY-UHFFFAOYSA-N,escherichia coli,"('MFDFERRIHVXMIY-UHFFFAOYSA-N', 'MYSWGUAQZAJSOK-UHFFFAOYSA-N')"
spectinomycin,fosfomycin,escherichia coli iai1,0.2997,0.001463305,Antagonism,UNFWWIHTNXNPBV-WXKVUWSESA-N,YMDXZJFXQJVXBF-STHAYSLISA-N,escherichia coli,"('UNFWWIHTNXNPBV-WXKVUWSESA-N', 'YMDXZJFXQJVXBF-STHAYSLISA-N')"
spectinomycin,procaine,escherichia coli iai1,0.1392,0.001463305,Antagonism,UNFWWIHTNXNPBV-WXKVUWSESA-N,MFDFERRIHVXMIY-UHFFFAOYSA-N,escherichia coli,"('MFDFERRIHVXMIY-UHFFFAOYSA-N', 'UNFWWIHTNXNPBV-WXKVUWSESA-N')"
spectinomycin,bleomycin,escherichia coli iai1,0.1737,0.001463305,Antagonism,UNFWWIHTNXNPBV-WXKVUWSESA-N,OYVAGSVQBOHSSS-WXFSZRTFSA-O,escherichia coli,"('OYVAGSVQBOHSSS-WXFSZRTFSA-O', 'UNFWWIHTNXNPBV-WXKVUWSESA-N')"
fosfomycin,benzalkonium,escherichia coli iai1,0.1502,0.017498889,Antagonism,YMDXZJFXQJVXBF-STHAYSLISA-N,VVZBFOKBSDGVGZ-UHFFFAOYSA-N,escherichia coli,"('VVZBFOKBSDGVGZ-UHFFFAOYSA-N', 'YMDXZJFXQJVXBF-STHAYSLISA-N')"
fosfomycin,trimethoprim,escherichia coli iai1,0.3013,0.001463305,Antagonism,YMDXZJFXQJVXBF-STHAYSLISA-N,IEDVJHCEMCRBQM-UHFFFAOYSA-N,escherichia coli,"('IEDVJHCEMCRBQM-UHFFFAOYSA-N', 'YMDXZJFXQJVXBF-STHAYSLISA-N')"
fosfomycin,tobramycin,escherichia coli iai1,0.0655,,,YMDXZJFXQJVXBF-STHAYSLISA-N,NLVFBUXFDBBNBW-PBSUHMDJSA-N,escherichia coli,"('NLVFBUXFDBBNBW-PBSUHMDJSA-N', 'YMDXZJFXQJVXBF-STHAYSLISA-N')"
fosfomycin,rifampicin,escherichia coli iai1,0.2093,0.001463305,Antagonism,YMDXZJFXQJVXBF-STHAYSLISA-N,JQXXHWHPUNPDRT-WLSIYKJHSA-N,escherichia coli,"('JQXXHWHPUNPDRT-WLSIYKJHSA-N', 'YMDXZJFXQJVXBF-STHAYSLISA-N')"
fosfomycin,mitomycin c,escherichia coli iai1,0.137,0.02865346,Antagonism,YMDXZJFXQJVXBF-STHAYSLISA-N,NWIBSHFKIJFRCO-WUDYKRTCSA-N,escherichia coli,"('NWIBSHFKIJFRCO-WUDYKRTCSA-N', 'YMDXZJFXQJVXBF-STHAYSLISA-N')"
fosfomycin,ciclopirox,escherichia coli iai1,0.0792,,,YMDXZJFXQJVXBF-STHAYSLISA-N,SCKYRAXSEDYPSA-UHFFFAOYSA-N,escherichia coli,"('SCKYRAXSEDYPSA-UHFFFAOYSA-N', 'YMDXZJFXQJVXBF-STHAYSLISA-N')"
fosfomycin,chir-90,escherichia coli iai1,0.0885,,,YMDXZJFXQJVXBF-STHAYSLISA-N,FQYBTYFKOHPWQT-VGSWGCGISA-N,escherichia coli,"('FQYBTYFKOHPWQT-VGSWGCGISA-N', 'YMDXZJFXQJVXBF-STHAYSLISA-N')"
novobiocin,cefaclor,escherichia coli iai1,-0.0665,,,YJQPYGGHQPGBLI-KGSXXDOSSA-N,QYIYFLOTGYLRGG-GPCCPHFNSA-N,escherichia coli,"('QYIYFLOTGYLRGG-GPCCPHFNSA-N', 'YJQPYGGHQPGBLI-KGSXXDOSSA-N')"
novobiocin,rifampicin,escherichia coli iai1,-0.1086,,,YJQPYGGHQPGBLI-KGSXXDOSSA-N,JQXXHWHPUNPDRT-WLSIYKJHSA-N,escherichia coli,"('JQXXHWHPUNPDRT-WLSIYKJHSA-N', 'YJQPYGGHQPGBLI-KGSXXDOSSA-N')"
novobiocin,aztreonam,escherichia coli iai1,0.1682,0.007206779,Antagonism,YJQPYGGHQPGBLI-KGSXXDOSSA-N,WZPBZJONDBGPKJ-VEHQQRBSSA-N,escherichia coli,"('WZPBZJONDBGPKJ-VEHQQRBSSA-N', 'YJQPYGGHQPGBLI-KGSXXDOSSA-N')"
fusidic acid,benzalkonium,escherichia coli iai1,0.0826,,,IECPWNUMDGFDKC-MZJAQBGESA-N,VVZBFOKBSDGVGZ-UHFFFAOYSA-N,escherichia coli,"('IECPWNUMDGFDKC-MZJAQBGESA-N', 'VVZBFOKBSDGVGZ-UHFFFAOYSA-N')"
fusidic acid,trimethoprim,escherichia coli iai1,0.0822,,,IECPWNUMDGFDKC-MZJAQBGESA-N,IEDVJHCEMCRBQM-UHFFFAOYSA-N,escherichia coli,"('IECPWNUMDGFDKC-MZJAQBGESA-N', 'IEDVJHCEMCRBQM-UHFFFAOYSA-N')"
fusidic acid,mecillinam,escherichia coli iai1,0.1073,,,IECPWNUMDGFDKC-MZJAQBGESA-N,BWWVAEOLVKTZFQ-NTZNESFSSA-N,escherichia coli,"('BWWVAEOLVKTZFQ-NTZNESFSSA-N', 'IECPWNUMDGFDKC-MZJAQBGESA-N')"
fusidic acid,curcumin,escherichia coli iai1,-0.0712,,,IECPWNUMDGFDKC-MZJAQBGESA-N,VFLDPWHFBUODDF-FCXRPNKRSA-N,escherichia coli,"('IECPWNUMDGFDKC-MZJAQBGESA-N', 'VFLDPWHFBUODDF-FCXRPNKRSA-N')"
cefotaxime,trimethoprim,escherichia coli iai1,0.0821,,,GPRBEKHLDVQUJE-QSWIMTSFSA-N,IEDVJHCEMCRBQM-UHFFFAOYSA-N,escherichia coli,"('GPRBEKHLDVQUJE-QSWIMTSFSA-N', 'IEDVJHCEMCRBQM-UHFFFAOYSA-N')"
cefotaxime,procaine,escherichia coli iai1,0.1079,0.017498889,Antagonism,GPRBEKHLDVQUJE-QSWIMTSFSA-N,MFDFERRIHVXMIY-UHFFFAOYSA-N,escherichia coli,"('GPRBEKHLDVQUJE-QSWIMTSFSA-N', 'MFDFERRIHVXMIY-UHFFFAOYSA-N')"
cefotaxime,caffeine,escherichia coli iai1,-0.0409,,,GPRBEKHLDVQUJE-QSWIMTSFSA-N,RYYVLZVUVIJVGH-UHFFFAOYSA-N,escherichia coli,"('GPRBEKHLDVQUJE-QSWIMTSFSA-N', 'RYYVLZVUVIJVGH-UHFFFAOYSA-N')"
cefotaxime,mitomycin c,escherichia coli iai1,-0.0596,,,GPRBEKHLDVQUJE-QSWIMTSFSA-N,NWIBSHFKIJFRCO-WUDYKRTCSA-N,escherichia coli,"('GPRBEKHLDVQUJE-QSWIMTSFSA-N', 'NWIBSHFKIJFRCO-WUDYKRTCSA-N')"
cefotaxime,curcumin,escherichia coli iai1,0.2372,0.010822467,Antagonism,GPRBEKHLDVQUJE-QSWIMTSFSA-N,VFLDPWHFBUODDF-FCXRPNKRSA-N,escherichia coli,"('GPRBEKHLDVQUJE-QSWIMTSFSA-N', 'VFLDPWHFBUODDF-FCXRPNKRSA-N')"
benzalkonium,trimethoprim,escherichia coli iai1,0.1054,0.002551072,Antagonism,VVZBFOKBSDGVGZ-UHFFFAOYSA-N,IEDVJHCEMCRBQM-UHFFFAOYSA-N,escherichia coli,"('IEDVJHCEMCRBQM-UHFFFAOYSA-N', 'VVZBFOKBSDGVGZ-UHFFFAOYSA-N')"
benzalkonium,mecillinam,escherichia coli iai1,-0.0021,,,VVZBFOKBSDGVGZ-UHFFFAOYSA-N,BWWVAEOLVKTZFQ-NTZNESFSSA-N,escherichia coli,"('BWWVAEOLVKTZFQ-NTZNESFSSA-N', 'VVZBFOKBSDGVGZ-UHFFFAOYSA-N')"
cefaclor,spiramycin,escherichia coli iai1,0.0337,,,QYIYFLOTGYLRGG-GPCCPHFNSA-N,ACTOXUHEUCPTEW-CEUOBAOPSA-N,escherichia coli,"('ACTOXUHEUCPTEW-CEUOBAOPSA-N', 'QYIYFLOTGYLRGG-GPCCPHFNSA-N')"
cefaclor,erythromycin,escherichia coli iai1,-0.0551,,,QYIYFLOTGYLRGG-GPCCPHFNSA-N,ULGZDMOVFRHVEP-RWJQBGPGSA-N,escherichia coli,"('QYIYFLOTGYLRGG-GPCCPHFNSA-N', 'ULGZDMOVFRHVEP-RWJQBGPGSA-N')"
cefaclor,caffeine,escherichia coli iai1,0.027,,,QYIYFLOTGYLRGG-GPCCPHFNSA-N,RYYVLZVUVIJVGH-UHFFFAOYSA-N,escherichia coli,"('QYIYFLOTGYLRGG-GPCCPHFNSA-N', 'RYYVLZVUVIJVGH-UHFFFAOYSA-N')"
cefaclor,puromycin,escherichia coli iai1,-0.1324,,,QYIYFLOTGYLRGG-GPCCPHFNSA-N,RXWNCPJZOCPEPQ-NVWDDTSBSA-N,escherichia coli,"('QYIYFLOTGYLRGG-GPCCPHFNSA-N', 'RXWNCPJZOCPEPQ-NVWDDTSBSA-N')"
clindamycin,bleomycin,escherichia coli iai1,0.1173,,,KDLRVYVGXIQJDK-AWPVFWJPSA-N,OYVAGSVQBOHSSS-WXFSZRTFSA-O,escherichia coli,"('KDLRVYVGXIQJDK-AWPVFWJPSA-N', 'OYVAGSVQBOHSSS-WXFSZRTFSA-O')"
spiramycin,metformin,escherichia coli iai1,0.0598,,,ACTOXUHEUCPTEW-CEUOBAOPSA-N,XZWYZXLIPXDOLR-UHFFFAOYSA-N,escherichia coli,"('ACTOXUHEUCPTEW-CEUOBAOPSA-N', 'XZWYZXLIPXDOLR-UHFFFAOYSA-N')"
erythromycin,imipenem,escherichia coli iai1,0.044,,,ULGZDMOVFRHVEP-RWJQBGPGSA-N,ZSKVGTPCRGIANV-ZXFLCMHBSA-N,escherichia coli,"('ULGZDMOVFRHVEP-RWJQBGPGSA-N', 'ZSKVGTPCRGIANV-ZXFLCMHBSA-N')"
erythromycin,bleomycin,escherichia coli iai1,0.0737,,,ULGZDMOVFRHVEP-RWJQBGPGSA-N,OYVAGSVQBOHSSS-WXFSZRTFSA-O,escherichia coli,"('OYVAGSVQBOHSSS-WXFSZRTFSA-O', 'ULGZDMOVFRHVEP-RWJQBGPGSA-N')"
erythromycin,metformin,escherichia coli iai1,0.1178,,,ULGZDMOVFRHVEP-RWJQBGPGSA-N,XZWYZXLIPXDOLR-UHFFFAOYSA-N,escherichia coli,"('ULGZDMOVFRHVEP-RWJQBGPGSA-N', 'XZWYZXLIPXDOLR-UHFFFAOYSA-N')"
erythromycin,acetylsalisylic acid,escherichia coli iai1,0.0682,,,ULGZDMOVFRHVEP-RWJQBGPGSA-N,BSYNRYMUTXBXSQ-UHFFFAOYSA-N,escherichia coli,"('BSYNRYMUTXBXSQ-UHFFFAOYSA-N', 'ULGZDMOVFRHVEP-RWJQBGPGSA-N')"
erythromycin,gentamicin,escherichia coli iai1,0.1377,0.01331946,Antagonism,ULGZDMOVFRHVEP-RWJQBGPGSA-N,CEAZRRDELHUEMR-UHFFFAOYSA-N,escherichia coli,"('CEAZRRDELHUEMR-UHFFFAOYSA-N', 'ULGZDMOVFRHVEP-RWJQBGPGSA-N')"
trimethoprim,clarithromycin,escherichia coli iai1,-0.0649,,,IEDVJHCEMCRBQM-UHFFFAOYSA-N,AGOYDEPGAOXOCK-KCBOHYOISA-N,escherichia coli,"('AGOYDEPGAOXOCK-KCBOHYOISA-N', 'IEDVJHCEMCRBQM-UHFFFAOYSA-N')"
trimethoprim,chir-90,escherichia coli iai1,0.0631,,,IEDVJHCEMCRBQM-UHFFFAOYSA-N,FQYBTYFKOHPWQT-VGSWGCGISA-N,escherichia coli,"('FQYBTYFKOHPWQT-VGSWGCGISA-N', 'IEDVJHCEMCRBQM-UHFFFAOYSA-N')"
procaine,tobramycin,escherichia coli iai1,0.043,,,MFDFERRIHVXMIY-UHFFFAOYSA-N,NLVFBUXFDBBNBW-PBSUHMDJSA-N,escherichia coli,"('MFDFERRIHVXMIY-UHFFFAOYSA-N', 'NLVFBUXFDBBNBW-PBSUHMDJSA-N')"
procaine,imipenem,escherichia coli iai1,0.0422,,,MFDFERRIHVXMIY-UHFFFAOYSA-N,ZSKVGTPCRGIANV-ZXFLCMHBSA-N,escherichia coli,"('MFDFERRIHVXMIY-UHFFFAOYSA-N', 'ZSKVGTPCRGIANV-ZXFLCMHBSA-N')"
vanillin,bleomycin,escherichia coli iai1,0.0399,,,MWOOGOJBHIARFG-UHFFFAOYSA-N,OYVAGSVQBOHSSS-WXFSZRTFSA-O,escherichia coli,"('MWOOGOJBHIARFG-UHFFFAOYSA-N', 'OYVAGSVQBOHSSS-WXFSZRTFSA-O')"
vanillin,chir-90,escherichia coli iai1,0.3243,0.010822467,Antagonism,MWOOGOJBHIARFG-UHFFFAOYSA-N,FQYBTYFKOHPWQT-VGSWGCGISA-N,escherichia coli,"('FQYBTYFKOHPWQT-VGSWGCGISA-N', 'MWOOGOJBHIARFG-UHFFFAOYSA-N')"
levofloxacin,colistin,escherichia coli iai1,0.1036,,,GSDSWSVVBLHKDQ-JTQLQIEISA-N,YKQOSKADJPQZHB-RGYSVOEGSA-N,escherichia coli,"('GSDSWSVVBLHKDQ-JTQLQIEISA-N', 'YKQOSKADJPQZHB-RGYSVOEGSA-N')"
mecillinam,clarithromycin,escherichia coli iai1,0.1091,,,BWWVAEOLVKTZFQ-NTZNESFSSA-N,AGOYDEPGAOXOCK-KCBOHYOISA-N,escherichia coli,"('AGOYDEPGAOXOCK-KCBOHYOISA-N', 'BWWVAEOLVKTZFQ-NTZNESFSSA-N')"
mecillinam,puromycin,escherichia coli iai1,0.2507,0.001463305,Antagonism,BWWVAEOLVKTZFQ-NTZNESFSSA-N,RXWNCPJZOCPEPQ-NVWDDTSBSA-N,escherichia coli,"('BWWVAEOLVKTZFQ-NTZNESFSSA-N', 'RXWNCPJZOCPEPQ-NVWDDTSBSA-N')"
mecillinam,azithromycin,escherichia coli iai1,0.3214,0.011726285,Antagonism,BWWVAEOLVKTZFQ-NTZNESFSSA-N,MQTOSJVFKKJCRP-BICOPXKESA-N,escherichia coli,"('BWWVAEOLVKTZFQ-NTZNESFSSA-N', 'MQTOSJVFKKJCRP-BICOPXKESA-N')"
mecillinam,curcumin,escherichia coli iai1,0.2599,,,BWWVAEOLVKTZFQ-NTZNESFSSA-N,VFLDPWHFBUODDF-FCXRPNKRSA-N,escherichia coli,"('BWWVAEOLVKTZFQ-NTZNESFSSA-N', 'VFLDPWHFBUODDF-FCXRPNKRSA-N')"
a22,puromycin,escherichia coli iai1,0.1077,,,LZTCFLDZLBOLDW-UHFFFAOYSA-N,RXWNCPJZOCPEPQ-NVWDDTSBSA-N,escherichia coli,"('LZTCFLDZLBOLDW-UHFFFAOYSA-N', 'RXWNCPJZOCPEPQ-NVWDDTSBSA-N')"
