Drug 1,Drug 2,E. coli BW25113,E. coli iAi1,ST LT2,ST 14028,PAO1,PA14,p-value E. coli BW25113,p-value E. coli iAi1,p-value ST LT2,p-value ST 14028,p-value PAO1,p-value PA14,interaction E. coli BW25113,interaction E. coli iAi1,interaction ST LT2,interaction ST14028,interaction PAO1,interaction PA14
Fusidic acid,Clarithromycin,-0.46682204,-0.34172443,NA,NA,NA,NA,NA,0.001463305,NA,NA,NA,NA,NA,Synergy,NA,NA,NA,NA
Amikacin,Trimethoprim,0.091316795,-0.126658896,NA,NA,NA,NA,NA,0.001463305,NA,NA,NA,NA,NA,Synergy,NA,NA,NA,NA
Cefotaxime,Aztreonam,-0.155475145,-0.336561517,NA,NA,NA,NA,NA,0.001463305,NA,NA,NA,NA,NA,Synergy,NA,NA,NA,NA
Cefotaxime,Penicillin G,-0.067795694,-0.164980844,NA,NA,NA,NA,NA,0.001463305,NA,NA,NA,NA,NA,Synergy,NA,NA,NA,NA
Cefaclor,Trimethoprim,-0.06542865,-0.137457937,NA,NA,NA,NA,NA,0.001463305,NA,NA,NA,NA,NA,Synergy,NA,NA,NA,NA
Cefaclor,Paraquat,0.050971161,-0.16307936,NA,NA,NA,NA,NA,0.001463305,NA,NA,NA,NA,NA,Synergy,NA,NA,NA,NA
Cefsulodin,Penicillin G,-0.055524844,-0.318868646,NA,NA,NA,NA,NA,0.001463305,NA,NA,NA,NA,NA,Synergy,NA,NA,NA,NA
Erythromycin,Rifampicin,0.045285939,-0.117595701,NA,NA,NA,NA,NA,0.043919431,NA,NA,NA,NA,NA,Synergy,NA,NA,NA,NA
Trimethoprim,Clofazimine,-0.048845687,-0.117369844,NA,NA,NA,NA,NA,0.007206779,NA,NA,NA,NA,NA,Synergy,NA,NA,NA,NA
Trimethoprim,Tigecycline,-0.096456648,-0.102448413,NA,NA,NA,NA,NA,0.012575588,NA,NA,NA,NA,NA,Synergy,NA,NA,NA,NA
Sulfamonomethoxine,Clarithromycin,-0.08885087,-0.185269902,NA,NA,NA,NA,NA,0.001463305,NA,NA,NA,NA,NA,Synergy,NA,NA,NA,NA
Sulfamonomethoxine,Bleomycin,-0.095805559,-0.254628484,NA,NA,NA,NA,NA,0.001463305,NA,NA,NA,NA,NA,Synergy,NA,NA,NA,NA
Paraquat,Nitrofurantoin,-0.087218948,-0.152214126,NA,NA,NA,NA,NA,0.01331946,NA,NA,NA,NA,NA,Synergy,NA,NA,NA,NA
Procaine,Berberine,0.076292917,-0.243760501,NA,NA,NA,NA,NA,0.002551072,NA,NA,NA,NA,NA,Synergy,NA,NA,NA,NA
Verapamil,Clarithromycin,-0.053081996,-0.15058359,NA,NA,NA,NA,NA,0.014177271,NA,NA,NA,NA,NA,Synergy,NA,NA,NA,NA
Piperacillin,Penicillin G,-0.044091277,-0.137293835,NA,NA,NA,NA,NA,0.033066399,NA,NA,NA,NA,NA,Synergy,NA,NA,NA,NA
Nitrofurantoin,Clarithromycin,-0.071383838,-0.501516632,NA,NA,NA,NA,NA,0.001463305,NA,NA,NA,NA,NA,Synergy,NA,NA,NA,NA
Minocycline,Curcumin,-0.219140926,-0.313347955,NA,NA,NA,NA,NA,0.012575588,NA,NA,NA,NA,NA,Synergy,NA,NA,NA,NA
Chlorhexidine,Reserpine,-0.083672466,-0.116505583,NA,NA,NA,NA,NA,0.02934497,NA,NA,NA,NA,NA,Synergy,NA,NA,NA,NA
Metronidazole,Aztreonam,-0.072555919,-0.13130949,NA,NA,NA,NA,NA,0.027080019,NA,NA,NA,NA,NA,Synergy,NA,NA,NA,NA
Penicillin G,CHIR-90,-0.018981002,-0.247932592,NA,NA,NA,NA,NA,0.003544318,NA,NA,NA,NA,NA,Synergy,NA,NA,NA,NA
Tigecycline,Mitomycin C,-0.077564069,-0.126645306,NA,NA,NA,NA,NA,0.005418631,NA,NA,NA,NA,NA,Synergy,NA,NA,NA,NA
Amoxicillin,Chloramphenicol,0.07717289,-0.23476322,NA,NA,NA,NA,NA,0.024022598,NA,NA,NA,NA,NA,Synergy,NA,NA,NA,NA
Doxycycline,Piperacillin,-0.069445259,-0.265000442,NA,NA,NA,NA,NA,0.001813026,NA,NA,NA,NA,NA,Synergy,NA,NA,NA,NA
Doxycycline,CCCP,0.063046167,-0.130703819,NA,NA,NA,NA,NA,0.004600072,NA,NA,NA,NA,NA,Synergy,NA,NA,NA,NA
Levofloxacin,Bleomycin,-0.0566542,-0.376475288,NA,NA,NA,NA,NA,0.042891559,NA,NA,NA,NA,NA,Synergy,NA,NA,NA,NA
Amoxicillin,Rifampicin,0.102283465,0.201708819,NA,NA,NA,NA,NA,0.007206779,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA
Amoxicillin,Curcumin,0.149272874,0.361110821,NA,NA,NA,NA,NA,0.009135354,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA
Amoxicillin,Berberine,0.12227291,0.367673079,NA,NA,NA,NA,NA,0.004486711,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA
Chloramphenicol,Fosfomycin,0.0965634,0.244966999,NA,NA,NA,NA,NA,0.001463305,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA
Chloramphenicol,Vanillin,0.096272761,0.299039392,NA,NA,NA,NA,NA,0.001463305,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA
Chloramphenicol,Meropenem,0.139886588,0.215745151,NA,NA,NA,NA,NA,0.001463305,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA
Chloramphenicol,Colistin,0.103338438,0.286725604,NA,NA,NA,NA,NA,0.004486711,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA
Chloramphenicol,Curcumin,0.133010221,0.153938096,NA,NA,NA,NA,NA,0.005418631,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA
Chloramphenicol,Berberine,0.101489365,0.322534738,NA,NA,NA,NA,NA,0.001463305,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA
Chloramphenicol,Phleomycin,0.123153295,0.16543762,NA,NA,NA,NA,NA,0.004486711,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA
Ciprofloxacin,Trimethoprim,-0.094316586,0.132330419,NA,NA,NA,NA,NA,0.005418631,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA
Ciprofloxacin,Curcumin,0.180052294,0.180690338,NA,NA,NA,NA,NA,0.005418631,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA
Ciprofloxacin,CHIR-90,0.129809411,0.211224296,NA,NA,NA,NA,NA,0.047128802,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA
Doxycycline,Meropenem,0.123649186,0.25619728,NA,NA,NA,NA,NA,0.01331946,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA
Doxycycline,Acetylsalisylic acid,0.082980042,0.174633129,NA,NA,NA,NA,NA,0.001463305,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA
Spectinomycin,Cefotaxime,0.098892819,0.124655971,NA,NA,NA,NA,NA,0.001463305,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA
Fosfomycin,Spiramycin,0.110928844,0.140650594,NA,NA,NA,NA,NA,0.042796561,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA
Fosfomycin,Azithromycin,0.23250106,0.244733063,NA,NA,NA,NA,NA,0.001463305,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA
Fosfomycin,Berberine,0.094711259,0.24144145,NA,NA,NA,NA,NA,0.002551072,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA
Fosfomycin,Moxifloxacin,0.117704748,0.144766913,NA,NA,NA,NA,NA,0.030028247,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA
Novobiocin,Trimethoprim,0.087234887,0.140252539,NA,NA,NA,NA,NA,0.001463305,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA
Novobiocin,Loperamide,0.050344185,0.128206779,NA,NA,NA,NA,NA,0.010009416,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA
Novobiocin,EGCG,-0.051280447,0.231059275,NA,NA,NA,NA,NA,0.002551072,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA
Novobiocin,Caffeine,-0.037183595,0.255767923,NA,NA,NA,NA,NA,0.001463305,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA
Novobiocin,Puromycin,-0.094292619,0.148896993,NA,NA,NA,NA,NA,0.022850764,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA
Novobiocin,Azithromycin,0.090292799,0.218732047,NA,NA,NA,NA,NA,0.003544318,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA
Novobiocin,Berberine,-0.249509737,0.182621123,NA,NA,NA,NA,NA,0.003544318,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA
Novobiocin,Acetylsalisylic acid,0.131800668,0.335117122,NA,NA,NA,NA,NA,0.001463305,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA
Novobiocin,Moxifloxacin,-0.212664607,0.199170693,NA,NA,NA,NA,NA,0.045807474,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA
Novobiocin,Streptozotocin,-0.088445942,0.1889721,NA,NA,NA,NA,NA,0.007206779,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA
Fusidic acid,Vanillin,0.093655595,0.153030238,NA,NA,NA,NA,NA,0.045807474,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA
Cefotaxime,Rifampicin,0.102906923,0.130105805,NA,NA,NA,NA,NA,0.003544318,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA
Cefotaxime,Berberine,0.111387724,0.122059247,NA,NA,NA,NA,NA,0.018245011,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA
Clindamycin,Aztreonam,0.092358931,0.12723942,NA,NA,NA,NA,NA,0.007206779,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA
Trimethoprim,Levofloxacin,0.105275988,0.123952775,NA,NA,NA,NA,NA,0.001463305,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA
Trimethoprim,Berberine,0.06511871,0.286565014,NA,NA,NA,NA,NA,0.001463305,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA
Trimethoprim,Acetylsalisylic acid,0.133082806,0.168149902,NA,NA,NA,NA,NA,0.005418631,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA
Trimethoprim,Moxifloxacin,0.14698121,0.12904342,NA,NA,NA,NA,NA,0.018245011,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA
Paraquat,Berberine,0.116972145,0.149619102,NA,NA,NA,NA,NA,0.004486711,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA
Vanillin,Levofloxacin,0.135503527,0.401480956,NA,NA,NA,NA,NA,0.001463305,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA
Levofloxacin,Aztreonam,0.035450728,0.158679391,NA,NA,NA,NA,NA,0.009135354,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA
Levofloxacin,Azithromycin,0.056951359,0.11870698,NA,NA,NA,NA,NA,0.037491916,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA
Levofloxacin,Curcumin,0.08599635,0.410473144,NA,NA,NA,NA,NA,0.001463305,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA
Mecillinam,EGCG,0.067846641,0.199381043,NA,NA,NA,NA,NA,0.001463305,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA
Mecillinam,Berberine,0.142443369,0.340492029,NA,NA,NA,NA,NA,0.004486711,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA
A22,Rifampicin,0.09969865,0.179193542,NA,NA,NA,NA,NA,0.001463305,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA
Nisin,CHIR-90,0.072753845,0.276570493,NA,NA,NA,NA,NA,0.043361123,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA
EGCG,Meropenem,0.078025115,0.150214472,NA,NA,NA,NA,NA,0.016847017,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA
Rifampicin,Imipenem,0.045064241,0.198388067,NA,NA,NA,NA,NA,0.042796561,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA
Rifampicin,Meropenem,0.063167273,0.317823057,NA,NA,NA,NA,NA,0.001463305,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA
Aztreonam,Cerulenin,-0.077526848,0.172350282,NA,NA,NA,NA,NA,0.008207008,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA
Aztreonam,Ciclopirox,0.136991483,0.243208918,NA,NA,NA,NA,NA,0.006382388,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA
Clarithromycin,Gentamicin,0.233014356,0.112202368,NA,NA,NA,NA,NA,0.039647611,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA
Caffeine,Puromycin,0.046512724,0.210917321,NA,NA,NA,NA,NA,0.005418631,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA
Caffeine,Moxifloxacin,0.197779174,0.146172217,NA,NA,NA,NA,NA,0.045807474,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA
Puromycin,Acetylsalisylic acid,-0.026218017,0.227161,NA,NA,NA,NA,NA,0.03445807,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA
Mitomycin C,Curcumin,0.08786836,0.166763582,NA,NA,NA,NA,NA,0.022850764,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA
Doxycycline,Caffeine,0.104542678,0.2113696,NA,NA,NA,NA,NA,0.019042464,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA
Amoxicillin,Colistin,0.156678455,0.787718769,NA,NA,NA,NA,NA,0.00516615,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA
Chloramphenicol,Caffeine,0.071292818,0.291046802,NA,NA,NA,NA,NA,0.034004062,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA
Polymyxin B,CHIR-90,0.131049771,0.21957512,NA,NA,NA,NA,NA,0.044783057,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA
Fusidic acid,Cerulenin,0.103580291,0.191888256,NA,NA,NA,NA,NA,0.048188458,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA
Cefotaxime,Vanillin,0.078214249,0.367222113,NA,NA,NA,NA,NA,0.001306049,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA
Benzalkonium,Diclofenac,0.165509167,0.415861046,NA,NA,NA,NA,NA,0.020992884,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA
Spiramycin,Clarithromycin,0.101089146,0.111245915,NA,NA,NA,NA,NA,0.028969066,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA
Vanillin,Puromycin,0.058007155,0.609767689,NA,NA,NA,NA,NA,0.006696861,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA
Mecillinam,Gentamicin,0.072181822,0.284383591,NA,NA,NA,NA,NA,0.049724194,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA
Tigecycline,CHIR-90,0.049699743,0.532620856,NA,NA,NA,NA,NA,0.007351044,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA
Amoxicillin,A22,-0.144406458,-0.107771087,NA,NA,0.047542801,-0.13341336,0.028629671,NA,NA,NA,NA,0.002815025,Synergy,NA,NA,NA,NA,Synergy
Doxycycline,Loperamide,-0.148761174,-0.187125153,NA,NA,0.066623852,-0.196567868,0.002956627,0.001463305,NA,NA,NA,0.002815025,Synergy,Synergy,NA,NA,NA,Synergy
Fosfomycin,Reserpine,-0.228893721,-0.334767928,NA,NA,-0.103237854,-0.105204515,0.001666307,0.001463305,NA,NA,0.002089943,0.002815025,Synergy,Synergy,NA,NA,Synergy,Synergy
Fosfomycin,Acetylsalisylic acid,-0.515955045,-0.372691014,NA,NA,-0.190175392,-0.124842139,0.001666307,0.001463305,NA,NA,0.023790803,NA,Synergy,Synergy,NA,NA,Synergy,NA
Oxacillin,Penicillin G,-0.235831388,-0.709464143,NA,NA,-0.104322745,-0.036614803,0.001666307,0.001463305,NA,NA,0.031378853,NA,Synergy,Synergy,NA,NA,Synergy,NA
Benzalkonium,Procaine,-0.283986658,-0.414691134,NA,NA,-0.046901762,-0.24070123,0.001666307,0.001463305,NA,NA,NA,0.002815025,Synergy,Synergy,NA,NA,NA,Synergy
Cefsulodin,Aztreonam,-0.563930947,-0.414565098,NA,NA,-0.086725558,-0.551993127,0.001666307,0.001463305,NA,NA,NA,0.007402038,Synergy,Synergy,NA,NA,NA,Synergy
Cefsulodin,Clarithromycin,-0.235793471,-0.069460987,NA,NA,0.042515163,-0.137121855,0.001666307,NA,NA,NA,NA,0.00546282,Synergy,NA,NA,NA,NA,Synergy
Procaine,Metformin,-0.133663389,-0.223769844,NA,NA,-0.314026126,-0.227652351,0.017082736,0.002551072,NA,NA,0.002089943,0.041701644,Synergy,Synergy,NA,NA,Synergy,Synergy
CCCP,Loperamide,-0.180968253,-0.14417045,NA,NA,-0.148902209,-0.116942336,0.001666307,0.001463305,NA,NA,0.002089943,0.034899522,Synergy,Synergy,NA,NA,Synergy,Synergy
Minocycline,Rifampicin,-0.262285774,-0.307193206,NA,NA,-0.261949277,0.031728428,0.001666307,0.001463305,NA,NA,0.001981816,NA,Synergy,Synergy,NA,NA,Synergy,NA
Ciprofloxacin,Moxifloxacin,-0.370513292,-0.194320072,NA,NA,0.047420502,-0.236371412,0.034974076,NA,NA,NA,NA,0.024232036,Synergy,NA,NA,NA,NA,Synergy
Doxycycline,A22,0.145314474,-0.046015076,NA,NA,-0.031449653,0.136296957,0.025110729,NA,NA,NA,NA,0.002815025,Antagonism,NA,NA,NA,NA,Antagonism
Fosfomycin,Fusidic acid,0.177261179,0.290445518,NA,NA,0.146610794,0.080456269,0.049613436,0.036453455,NA,NA,0.002089943,NA,Antagonism,Antagonism,NA,NA,Antagonism,NA
Fosfomycin,Minocycline,0.178120404,0.0799086,NA,NA,0.182555543,0.22371447,0.006321736,NA,NA,NA,NA,0.022989368,Antagonism,NA,NA,NA,NA,Antagonism
Polymyxin B,Amikacin,0.133314283,0.035946328,NA,NA,0.207617676,0.182367417,0.045841287,NA,NA,NA,0.002089943,NA,Antagonism,NA,NA,NA,Antagonism,NA
Amikacin,Rifampicin,0.257778742,-0.069498293,NA,NA,0.152553905,0.177575006,0.001666307,NA,NA,NA,0.002089943,0.00863359,Antagonism,NA,NA,NA,Antagonism,Antagonism
Benzalkonium,Clarithromycin,0.112538552,0.171535451,NA,NA,0.333015011,0.159485238,0.023345905,0.001463305,NA,NA,0.002089943,0.002815025,Antagonism,Antagonism,NA,NA,Antagonism,Antagonism
Erythromycin,Berberine,0.111772853,0.095546744,NA,NA,0.144947686,0.12925687,0.045236399,NA,NA,NA,0.009567829,0.009195747,Antagonism,NA,NA,NA,Antagonism,Antagonism
Rifampicin,Phleomycin,0.378307139,0.172946553,NA,NA,0.146173837,0.028513862,0.001666307,NA,NA,NA,0.024461593,NA,Antagonism,NA,NA,NA,Antagonism,NA
Ciprofloxacin,Rifampicin,0.220284691,0.224904361,0.226580121,-0.258704949,0.171186491,0.125793284,0.014367611,0.001463305,0.003107603,0.001836122,0.002089943,0.037789325,Antagonism,Antagonism,Antagonism,Synergy,Antagonism,Antagonism
Amikacin,Vanillin,0.208150228,-0.045300939,NA,NA,0.147728928,0.057646012,0.007858749,NA,NA,NA,0.002089943,NA,Antagonism,NA,NA,NA,Antagonism,NA
Amikacin,Azithromycin,0.202444166,0.039346419,NA,NA,0.688772206,0.405026872,0.047400094,NA,NA,NA,0.002089943,0.041701644,Antagonism,NA,NA,NA,Antagonism,Antagonism
Spiramycin,Tobramycin,0.683018203,0.042195431,NA,NA,-0.038679584,0.273421763,0.009698137,NA,NA,NA,NA,0.039694894,Antagonism,NA,NA,NA,NA,Antagonism
Erythromycin,Tobramycin,0.374802401,-0.042012701,NA,NA,0.458285148,0.38047188,0.00387234,NA,NA,NA,0.002089943,0.002815025,Antagonism,NA,NA,NA,Antagonism,Antagonism
A22,Berberine,0.259010734,0.09291829,NA,NA,-0.050762322,0.236242186,0.036595695,NA,NA,NA,NA,0.032759849,Antagonism,NA,NA,NA,NA,Antagonism
Spectinomycin,Loperamide,-0.0754717,-0.14242835,NA,NA,-0.078670981,-0.259938779,NA,0.001463305,NA,NA,NA,0.002815025,NA,Synergy,NA,NA,NA,Synergy
Fosfomycin,Cefotaxime,-0.086770752,-0.156152589,NA,NA,-0.185564108,-0.098164736,NA,0.001463305,NA,NA,0.0063327,NA,NA,Synergy,NA,NA,Synergy,NA
Fosfomycin,Nitrofurantoin,-0.080736392,-0.184263677,NA,NA,-0.090965099,-0.21500062,NA,0.002551072,NA,NA,NA,0.002815025,NA,Synergy,NA,NA,NA,Synergy
Polymyxin B,Erythromycin,-0.138846284,-0.3310996,NA,NA,0.072136322,-0.103429712,NA,0.001463305,NA,NA,NA,0.024543598,NA,Synergy,NA,NA,NA,Synergy
Amikacin,Cefotaxime,-0.078643842,-0.109242416,NA,NA,-0.386561143,-0.3337696,NA,0.002551072,NA,NA,0.002089943,0.002815025,NA,Synergy,NA,NA,Synergy,Synergy
Cefotaxime,Piperacillin,-0.090653088,-0.267073127,NA,NA,-0.257761237,-0.085564501,NA,0.001463305,NA,NA,0.001981816,NA,NA,Synergy,NA,NA,Synergy,NA
Sulfamonomethoxine,Mitomycin C,-0.109146591,-0.107159676,NA,NA,-0.075287602,-0.138980801,NA,0.038933176,NA,NA,NA,0.002815025,NA,Synergy,NA,NA,NA,Synergy
A22,Aztreonam,-0.116819962,-0.239493987,NA,NA,0.040283817,-0.117445738,NA,0.004486711,NA,NA,NA,0.007402038,NA,Synergy,NA,NA,NA,Synergy
Clofazimine,Mitomycin C,0.04948359,-0.125182812,NA,NA,-0.068156535,-0.207089099,NA,0.011726285,NA,NA,NA,0.002815025,NA,Synergy,NA,NA,NA,Synergy
Benzalkonium,Loperamide,-0.073649734,-0.138912546,NA,NA,-0.152950287,-0.062065388,NA,0.006963072,NA,NA,0.001981816,NA,NA,Synergy,NA,NA,Synergy,NA
Ciprofloxacin,Acetylsalisylic acid,0.127337577,0.129533706,NA,NA,0.241983413,0.204974802,NA,0.003544318,NA,NA,0.005238084,NA,NA,Antagonism,NA,NA,Antagonism,NA
Fosfomycin,Puromycin,0.189314288,0.224364866,NA,NA,0.243270538,0.086494045,NA,0.001463305,NA,NA,0.002089943,NA,NA,Antagonism,NA,NA,Antagonism,NA
Cefotaxime,Acetylsalisylic acid,0.072120181,0.115708803,NA,NA,0.222668838,0.039713276,NA,0.015073003,NA,NA,0.002089943,NA,NA,Antagonism,NA,NA,Antagonism,NA
Procaine,A22,0.079665591,0.103720706,NA,NA,0.042237226,0.206959257,NA,0.01331946,NA,NA,NA,0.002815025,NA,Antagonism,NA,NA,NA,Antagonism
Procaine,Meropenem,0.197816666,0.138011177,NA,NA,0.100119943,0.079522247,NA,0.01331946,NA,NA,0.002089943,NA,NA,Antagonism,NA,NA,Antagonism,NA
Nitrofurantoin,CHIR-90,0.158845264,0.319041269,NA,NA,0.072895466,0.442408834,NA,0.001463305,NA,NA,NA,0.042321336,NA,Antagonism,NA,NA,NA,Antagonism
Rifampicin,Puromycin,0.088227253,0.201042256,NA,NA,0.242010533,0.05055773,NA,0.001463305,NA,NA,0.002089943,NA,NA,Antagonism,NA,NA,Antagonism,NA
Aztreonam,Puromycin,0.172173001,0.20333877,NA,NA,0.077347935,0.142912825,NA,0.001463305,NA,NA,NA,0.039954338,NA,Antagonism,NA,NA,NA,Antagonism
Aztreonam,Colistin,0.194872926,0.485510185,NA,NA,0.166329729,0.133118487,NA,0.003544318,NA,NA,0.040302733,NA,NA,Antagonism,NA,NA,Antagonism,NA
Clarithromycin,Acetylsalisylic acid,0.123899927,0.108534997,NA,NA,0.10709082,0.054865227,NA,0.007206779,NA,NA,0.031378853,NA,NA,Antagonism,NA,NA,Antagonism,NA
Benzalkonium,Curcumin,0.161408303,0.931475444,NA,NA,0.539322449,0.684509557,NA,0.001306049,NA,NA,0.002089943,0.002815025,NA,Antagonism,NA,NA,Antagonism,Antagonism
Tobramycin,Rifampicin,0.227502711,0.239259225,NA,NA,0.140264925,0.154159722,NA,0.013625011,NA,NA,NA,0.002389296,NA,Antagonism,NA,NA,NA,Antagonism
Amoxicillin,Cycloserine D,-0.255258347,-0.129666155,-0.343596764,-0.520988071,NA,NA,0.001666307,NA,0.01390782,0.001836122,NA,NA,Synergy,NA,Synergy,Synergy,NA,NA
Amoxicillin,Fosfomycin,-0.235424396,-0.197434681,-0.21533938,-0.233475371,NA,NA,0.001666307,0.043919431,0.001768535,0.002167452,NA,NA,Synergy,Synergy,Synergy,Synergy,NA,NA
Amoxicillin,Cefaclor,-0.472272507,-0.248875028,-0.281048583,-0.513641019,NA,NA,0.001666307,0.001463305,0.003167815,0.013345888,NA,NA,Synergy,Synergy,Synergy,Synergy,NA,NA
Amoxicillin,Mecillinam,-0.191183394,-0.385458197,-0.623811224,-0.469801302,NA,NA,0.001666307,0.006963072,0.003273536,0.003743781,NA,NA,Synergy,Synergy,Synergy,Synergy,NA,NA
Amoxicillin,Aztreonam,-0.524618664,-0.290350251,-0.540616504,-0.472447994,NA,NA,0.001666307,0.001463305,0.021441657,0.048381176,NA,NA,Synergy,Synergy,Synergy,Synergy,NA,NA
Cycloserine D,Acetylsalisylic acid,-0.118066532,-0.07164821,-0.132165881,-0.228359445,NA,NA,0.005217578,NA,NA,0.005087138,NA,NA,Synergy,NA,NA,Synergy,NA,NA
Doxycycline,Verapamil,-0.244319764,-0.100446159,-0.088662139,-0.123155144,NA,NA,0.002956627,NA,NA,0.007468165,NA,NA,Synergy,NA,NA,Synergy,NA,NA
Spectinomycin,Vanillin,-0.891528603,-0.540546432,-0.562770201,-0.405176659,NA,NA,0.001666307,0.001463305,0.001768535,0.002167452,NA,NA,Synergy,Synergy,Synergy,Synergy,NA,NA
Fosfomycin,Cefsulodin,-0.354431465,-0.2116671,-0.220857547,-0.104753755,NA,NA,0.001666307,0.001463305,0.001768535,NA,NA,NA,Synergy,Synergy,Synergy,NA,NA,NA
Fosfomycin,Vanillin,-0.413750628,-0.326711017,-0.128245601,-0.10293016,NA,NA,0.001666307,0.001463305,0.011530847,NA,NA,NA,Synergy,Synergy,Synergy,NA,NA,NA
Fosfomycin,Penicillin G,-0.133764513,-0.181619379,-0.349446487,-0.260293115,NA,NA,0.023345905,0.021287717,0.001768535,0.002167452,NA,NA,Synergy,Synergy,Synergy,Synergy,NA,NA
Novobiocin,Bacitracin,-0.381221773,-0.277852427,-0.057767787,-0.23004309,NA,NA,0.001666307,0.010009416,NA,0.002167452,NA,NA,Synergy,Synergy,NA,Synergy,NA,NA
Novobiocin,Polymyxin B,-0.294057329,-0.364163206,-0.178149352,-0.277161709,NA,NA,0.001666307,0.001463305,0.001768535,0.002167452,NA,NA,Synergy,Synergy,Synergy,Synergy,NA,NA
Bacitracin,Trimethoprim,-0.214243065,-0.133746191,-0.094836749,-0.181776841,NA,NA,0.002956627,NA,NA,0.002167452,NA,NA,Synergy,NA,NA,Synergy,NA,NA
Bacitracin,Mecillinam,-0.142736191,-0.101715387,-0.089200584,-0.16618308,NA,NA,0.024275467,NA,NA,0.007468165,NA,NA,Synergy,NA,NA,Synergy,NA,NA
Bacitracin,Imipenem,-0.184062819,-0.091985103,-0.076163433,-0.216340862,NA,NA,0.027025422,NA,NA,0.027674033,NA,NA,Synergy,NA,NA,Synergy,NA,NA
