Combination	Bliss_interaction_score	p_adjusted	Strain	Type	Screen
Chloramphenicol_Tolfenamic	0.0596414782704433	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Chloramphenicol_Troglitazone	0.0519943643460214	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Chloramphenicol_Verapamil	0.0781947455899749	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Cilnidipine_Ciprofloxacin	-0.246080448371325	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Cilnidipine_Clavulanic	0.10390395465693	0.0490236690616653	S. aureus DSM 20231	neutral	non_antibiotic_screen
Cilnidipine_Clindamycin	-0.216402147243256	0.0026742423796836	S. aureus DSM 20231	synergy	non_antibiotic_screen
Cilnidipine_Clarithromycin	-0.306152019991944	0.0026742423796836	S. aureus DSM 20231	synergy	non_antibiotic_screen
Cilnidipine_Clortetracycline	-0.317612507659023	0.0026742423796836	S. aureus DSM 20231	synergy	non_antibiotic_screen
Cefotaxime_Cilnidipine	0.164990032414229	0.489143242538489	S. aureus DSM 20231	neutral	non_antibiotic_screen
Cefuroxime_Cilnidipine	-0.191552484134414	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Cilnidipine_Daptomycin	-0.466931099050039	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Cilnidipine_CycloserineD	0.10390395465693	0.0469422825159344	S. aureus DSM 20231	neutral	non_antibiotic_screen
Cilnidipine_Doxycycline	-0.255375332338541	0.0026742423796836	S. aureus DSM 20231	synergy	non_antibiotic_screen
Cilnidipine_Doxorubicin	0.0986581840437435	0.15666538302438	S. aureus DSM 20231	neutral	non_antibiotic_screen
Cilnidipine_EGCG	0.105166627081162	0.0725927407259274	S. aureus DSM 20231	neutral	non_antibiotic_screen
Cilnidipine_Erythromycin	-0.419256578840938	0.154384561543846	S. aureus DSM 20231	neutral	non_antibiotic_screen
Cefepime_Cilnidipine	0.106296815069088	0.0503769442875532	S. aureus DSM 20231	neutral	non_antibiotic_screen
Cilnidipine_Fosfomycin	0.100865994769783	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Cilnidipine_Fusidic acid	-0.293058784011597	0.0421677638999385	S. aureus DSM 20231	neutral	non_antibiotic_screen
Cilnidipine_Gentamicin	-0.274955073692094	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Cilnidipine_Imipenem	0.10390395465693	0.0768818871008652	S. aureus DSM 20231	neutral	non_antibiotic_screen
Cilnidipine_Levofloxacin	-0.226409332269976	0.663469024276612	S. aureus DSM 20231	neutral	non_antibiotic_screen
Cephalexin_Cilnidipine	0.10390395465693	0.0314188476440314	S. aureus DSM 20231	neutral	non_antibiotic_screen
Cilnidipine_Lincomycin	-0.225638329474385	0.0026742423796836	S. aureus DSM 20231	neutral	non_antibiotic_screen
Cilnidipine_Loperamide	-0.336805173729967	0.0026742423796836	S. aureus DSM 20231	synergy	non_antibiotic_screen
Cilnidipine_Linezolid	-0.303875687266971	0.0026742423796836	S. aureus DSM 20231	synergy	non_antibiotic_screen
Cilnidipine_Miconazole	0.116907756512402	0.0222024309196987	S. aureus DSM 20231	antagonism	non_antibiotic_screen
Cilnidipine_MitomycinC	-0.286585040685688	0.00470297797806426	S. aureus DSM 20231	synergy	non_antibiotic_screen
Cilnidipine_Metronidazole	0.10390395465693	0.0421677638999385	S. aureus DSM 20231	neutral	non_antibiotic_screen
Cilnidipine_Pseudomonic acid	-0.400584691043746	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Cilnidipine_Moxifloxacin	-0.401189629018907	0.687230269778778	S. aureus DSM 20231	neutral	non_antibiotic_screen
Cilnidipine_Nitrofurantoin	-0.230176706977358	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Cilnidipine_Nisin	0.157112644268794	0.00644345014317466	S. aureus DSM 20231	antagonism	non_antibiotic_screen
Cilnidipine_Novobiocin	-0.156577343798172	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Cilnidipine_Oritavancin	0.260652520761291	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Cilnidipine_Oxacillin	-0.0694982990900423	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Cilnidipine_PenicillinG	-0.234786938208124	0.0026742423796836	S. aureus DSM 20231	synergy	non_antibiotic_screen
Cilnidipine_Phleomycin	0.806396398772302	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Cilnidipine_Paraquat	0.0989698288026925	0.268332236543787	S. aureus DSM 20231	neutral	non_antibiotic_screen
Cilnidipine_Procaine	0.10390395465693	0.0966668245456156	S. aureus DSM 20231	neutral	non_antibiotic_screen
Cilnidipine_Pristinamycin	0.10390395465693	0.146625577682472	S. aureus DSM 20231	neutral	non_antibiotic_screen
Cilnidipine_Puromycin	0.10390395465693	0.087926738461685	S. aureus DSM 20231	neutral	non_antibiotic_screen
Cilnidipine_Pyocyanin	0.237361828385821	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Cilnidipine_Rifampicin	0.10390395465693	0.052129898121299	S. aureus DSM 20231	neutral	non_antibiotic_screen
Cilnidipine_Sulfamethoxazol	0.0936937906746215	0.71122674361298	S. aureus DSM 20231	neutral	non_antibiotic_screen
Cilnidipine_Spectinomycin	0.0904663878234729	0.984755761711966	S. aureus DSM 20231	neutral	non_antibiotic_screen
Cilnidipine_Streptomycin	-0.390280159408723	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Cilnidipine_Streptozotocin	-0.10361282583032	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Cilnidipine_Teicoplanin	0.107094435206474	0.0222024309196987	S. aureus DSM 20231	neutral	non_antibiotic_screen
Cilnidipine_Telithromycin	0.072213157112085	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Cilnidipine_Tigecycline	0.106296815069088	0.0545545445455454	S. aureus DSM 20231	neutral	non_antibiotic_screen
Cilnidipine_Trimethoprim	-0.281229294594942	0.0026742423796836	S. aureus DSM 20231	synergy	non_antibiotic_screen
Cilnidipine_Triclosan	0.10390395465693	0.100297873992669	S. aureus DSM 20231	neutral	non_antibiotic_screen
Cilnidipine_Tedizolid	-0.40227917850952	0.0026742423796836	S. aureus DSM 20231	synergy	non_antibiotic_screen
Cilnidipine_U1	0.0991449937443493	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Cilnidipine_Vancomycin	0.105488492632722	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Cilnidipine_Virginiamycin M1	0.10390395465693	0.0889476269764328	S. aureus DSM 20231	neutral	non_antibiotic_screen
Ciprofloxacin_Clomiphene	-0.128482089000408	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Ciprofloxacin_Clopidogrel	0.0856155664512329	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Chlorpromazine_Ciprofloxacin	-0.075936383098289	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Ciprofloxacin_Diflunisal	0.15791103965606	0.982784074533725	S. aureus DSM 20231	neutral	non_antibiotic_screen
Ciprofloxacin_Diacerein	-0.144070086902652	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Ciprofloxacin_Entacapone	0.116300913372306	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Ciprofloxacin_Estradiol	0.117107397397293	0.313449356818704	S. aureus DSM 20231	neutral	non_antibiotic_screen
Ciprofloxacin_Felodipine	0.109163016991022	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Ciprofloxacin_Gefitinib	-0.336044458032106	0.0026742423796836	S. aureus DSM 20231	synergy	non_antibiotic_screen
Ciprofloxacin_Hexestrol	-0.257073812708397	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Ciprofloxacin_Ibuprofen	0.0792977531755047	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Ciprofloxacin_Loratadine	-0.109183068927887	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Ciprofloxacin_Losartan	0.176817421394042	0.183857857308192	S. aureus DSM 20231	neutral	non_antibiotic_screen
Ciprofloxacin_Loxapine	0.0484358124416423	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Ciprofloxacin_Meclizine	0.0615834736404149	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Ciprofloxacin_Montelukast	-0.261940703796484	0.16725891880726	S. aureus DSM 20231	neutral	non_antibiotic_screen
Ciprofloxacin_Methylprednisolone	-0.13685168356446	0.410196242733141	S. aureus DSM 20231	neutral	non_antibiotic_screen
Ciprofloxacin_Mesalamine	-0.0668805001050419	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Ciprofloxacin_Metformin	-0.0576305469265381	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Ciprofloxacin_Methotrexate	0.038323489172128	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Ciprofloxacin_Naphazoline	-0.0555112175211347	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Ciprofloxacin_Nicotine	-0.0757615763753759	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Ciprofloxacin_Omeprazole	0.0772475095486616	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Ciprofloxacin_Oxymetazoline	-0.0645087079059602	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Ciprofloxacin_Promethazine	0.0604963116301694	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Ciprofloxacin_Quercetin	0.0721615601980682	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Ciprofloxacin_Salmeterol	0.0400559918495461	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Ciprofloxacin_Spironolactone	0.0919353623836187	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Ciprofloxacin_Sucrose	0.112455695328653	0.280831916808319	S. aureus DSM 20231	neutral	non_antibiotic_screen
Ciprofloxacin_Tamoxifene	0.0422478649708033	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Ciprofloxacin_Thymol	0.0732531262300188	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Ciprofloxacin_Ticagrelor	-0.374895845297528	0.0026742423796836	S. aureus DSM 20231	synergy	non_antibiotic_screen
Ciprofloxacin_Tiratricol	0.0865207766348534	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Ciprofloxacin_Telmisartan	-0.117757466540313	0.114617854175494	S. aureus DSM 20231	neutral	non_antibiotic_screen
Ciprofloxacin_Tolfenamic	-0.187480213583347	0.0026742423796836	S. aureus DSM 20231	synergy	non_antibiotic_screen
Ciprofloxacin_Troglitazone	0.0459816519966889	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Ciprofloxacin_Verapamil	0.167932792453455	0.491377812573351	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clavulanic_Clomiphene	-0.0459418005042867	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clavulanic_Clopidogrel	0.0505915299126948	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Chlorpromazine_Clavulanic	0.06312325204589	0.859751999483596	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clavulanic_Diflunisal	-0.0779320772957886	0.135549635220527	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clavulanic_Diacerein	0.0860555761562326	0.523779201027266	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clavulanic_Entacapone	0.0599320780491828	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clavulanic_Estradiol	0.0706546141866675	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clavulanic_Felodipine	0.0194289304263822	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clavulanic_Gefitinib	0.0736341582591128	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clavulanic_Hexestrol	0.101991681200639	0.948331335090789	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clavulanic_Ibuprofen	-0.0364661556672307	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clavulanic_Loratadine	0.0439643545479675	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clavulanic_Losartan	0.0352403521073339	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clavulanic_Loxapine	0.0454900042218367	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clavulanic_Meclizine	0.0278907883922419	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clavulanic_Montelukast	0.128046399692705	0.441249992647794	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clavulanic_Methylprednisolone	0.0754413001519129	0.727008655066695	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clavulanic_Mesalamine	0.0717469415974538	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clavulanic_Metformin	0.0154348349169384	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clavulanic_Methotrexate	0.0518380140224006	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clavulanic_Naphazoline	-0.0504875018310333	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clavulanic_Nicotine	0.0441381810863653	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clavulanic_Omeprazole	-0.0342795906305556	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clavulanic_Oxymetazoline	-0.0539158415153589	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clavulanic_Promethazine	0.00125306617347881	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clavulanic_Quercetin	0.0327854367416631	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clavulanic_Salmeterol	0.00929173433689043	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clavulanic_Spironolactone	-0.072758656864951	0.531769045317689	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clavulanic_Sucrose	0.0251280866443079	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clavulanic_Tamoxifene	0.0267600915600946	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clavulanic_Thymol	0.019452074579382	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clavulanic_Ticagrelor	0.080706380160595	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clavulanic_Tiratricol	-0.0393614327615366	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clavulanic_Telmisartan	0.0735386036299188	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clavulanic_Tolfenamic	0.10208463478048	0.47451602036903	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clavulanic_Troglitazone	0.0212942483611659	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clavulanic_Verapamil	-0.00516573636560604	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clindamycin_Clomiphene	0.105502588702128	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clindamycin_Clopidogrel	0.234409611530551	0.770398635812094	S. aureus DSM 20231	neutral	non_antibiotic_screen
Chlorpromazine_Clindamycin	-0.115070974261715	0.0776353133917377	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clindamycin_Diflunisal	-0.0694559196863673	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clindamycin_Diacerein	-0.0890198411583871	0.999860507776381	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clindamycin_Entacapone	-0.13462016390701	0.130862926168442	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clindamycin_Estradiol	-0.0728839599722793	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clindamycin_Felodipine	0.111433851380842	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clindamycin_Gefitinib	0.112815555780362	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clindamycin_Hexestrol	-0.0814211095824282	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clindamycin_Ibuprofen	-0.181459341241203	0.00644345014317466	S. aureus DSM 20231	synergy	non_antibiotic_screen
Clindamycin_Loratadine	-0.104775917815285	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clindamycin_Losartan	0.119478376890848	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clindamycin_Loxapine	0.108157977046895	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clindamycin_Meclizine	0.14212104711309	0.985799388458446	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clindamycin_Montelukast	-0.202165763192549	0.00820369090910458	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clindamycin_Methylprednisolone	-0.258291084409991	0.0026742423796836	S. aureus DSM 20231	synergy	non_antibiotic_screen
Clindamycin_Mesalamine	-0.160798176330725	0.0421677638999385	S. aureus DSM 20231	synergy	non_antibiotic_screen
Clindamycin_Metformin	0.174673550263238	0.605829072265186	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clindamycin_Methotrexate	-0.169264114255235	0.497522078778036	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clindamycin_Naphazoline	0.0576396915400494	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clindamycin_Nicotine	-0.230284283057227	0.23409101632624	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clindamycin_Omeprazole	0.0771092121732091	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clindamycin_Oxymetazoline	0.0836895612789315	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clindamycin_Promethazine	0.105335032285866	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clindamycin_Quercetin	-0.13449289147669	0.369379728693797	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clindamycin_Salmeterol	0.179900569531537	0.192330364818746	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clindamycin_Spironolactone	0.162587083834663	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clindamycin_Sucrose	-0.0374524184765641	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clindamycin_Tamoxifene	0.0795839065382737	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clindamycin_Thymol	-0.283097188654688	0.0026742423796836	S. aureus DSM 20231	synergy	non_antibiotic_screen
Clindamycin_Ticagrelor	-0.136040271292237	0.317343429055787	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clindamycin_Tiratricol	0.230683259225227	0.00644345014317466	S. aureus DSM 20231	antagonism	non_antibiotic_screen
Clindamycin_Telmisartan	-0.0494836765288856	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clindamycin_Tolfenamic	-0.167003267404642	0.0461024320103201	S. aureus DSM 20231	synergy	non_antibiotic_screen
Clindamycin_Troglitazone	0.194948822316978	0.746635156677969	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clindamycin_Verapamil	0.100669015545657	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clarithromycin_Clomiphene	0.13182681888695	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clomiphene_Clortetracycline	0.0784950600948697	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Cefotaxime_Clomiphene	-0.0504084248625956	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Cefuroxime_Clomiphene	-0.153816298131452	0.100888541282858	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clomiphene_Daptomycin	0.210824124876405	0.645180990882948	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clomiphene_CycloserineD	-0.192652360861038	0.0026742423796836	S. aureus DSM 20231	synergy	non_antibiotic_screen
Clomiphene_Doxycycline	0.155140743489095	0.924033912398234	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clomiphene_Doxorubicin	-0.0988442243609888	0.0975541334755413	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clomiphene_EGCG	0.287098784292157	0.0026742423796836	S. aureus DSM 20231	antagonism	non_antibiotic_screen
Clomiphene_Erythromycin	0.0818978907851599	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Cefepime_Clomiphene	-0.0727790769567833	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clomiphene_Fosfomycin	0.0317271830894682	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clomiphene_Fusidic acid	0.174029476612397	0.438043856756129	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clomiphene_Gentamicin	0.174156430309325	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clomiphene_Imipenem	-0.109307559968561	0.787362652252799	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clomiphene_Levofloxacin	-0.0609451772428441	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Cephalexin_Clomiphene	-0.061312275963809	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clomiphene_Lincomycin	0.063868528294963	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clomiphene_Loperamide	-0.111671086709848	0.138881233827837	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clomiphene_Linezolid	0.203008091413304	0.12469610181839	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clomiphene_Miconazole	-0.0728508957226537	0.436335702223136	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clomiphene_MitomycinC	-0.187001934562084	0.49695630084258	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clomiphene_Metronidazole	-0.0619621497856288	0.967923276087443	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clomiphene_Pseudomonic acid	0.18311170781499	0.0461024320103201	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clomiphene_Moxifloxacin	-0.0935937187940521	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clomiphene_Nitrofurantoin	-0.0465251706634172	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clomiphene_Nisin	-0.326485342091753	0.00470297797806426	S. aureus DSM 20231	synergy	non_antibiotic_screen
Clomiphene_Novobiocin	-0.0849371786673542	0.858472528381679	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clomiphene_Oritavancin	-0.174144976498265	0.215455922762154	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clomiphene_Oxacillin	-0.104146089007661	0.382662756219266	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clomiphene_PenicillinG	-0.135451630126074	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clomiphene_Phleomycin	0.0470695962088894	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clomiphene_Paraquat	-0.0409919953635169	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clomiphene_Procaine	-0.0337947644261171	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clomiphene_Pristinamycin	-0.0489904493384347	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clomiphene_Puromycin	0.0414454809918779	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clomiphene_Pyocyanin	0.0597010490049342	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clomiphene_Rifampicin	0.0747169074908097	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clomiphene_Sulfamethoxazol	0.0712697998437384	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clomiphene_Spectinomycin	0.0928303604221775	0.613527501738991	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clomiphene_Streptomycin	0.256285718901295	0.00644345014317466	S. aureus DSM 20231	antagonism	non_antibiotic_screen
Clomiphene_Streptozotocin	0.0799649945984857	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clomiphene_Teicoplanin	-0.0576560049810011	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clomiphene_Telithromycin	0.141012779508066	0.581621837816219	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clomiphene_Tigecycline	0.111025919707634	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clomiphene_Trimethoprim	0.207626338256691	0.0222024309196987	S. aureus DSM 20231	antagonism	non_antibiotic_screen
Clomiphene_Triclosan	0.0993541568319866	0.360653474401514	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clomiphene_Tedizolid	0.291450140050521	0.0026742423796836	S. aureus DSM 20231	antagonism	non_antibiotic_screen
Clomiphene_U1	0.100486059718795	0.337912477408976	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clomiphene_Vancomycin	0.0970600730368459	0.6620504130345	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clomiphene_Virginiamycin M1	0.102362913297879	0.601641562688317	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clarithromycin_Clopidogrel	0.0783603395639743	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clopidogrel_Clortetracycline	0.17034547850143	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Cefotaxime_Clopidogrel	-0.057974146171938	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Cefuroxime_Clopidogrel	0.0788170617579189	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clopidogrel_Daptomycin	0.0880680953294485	0.982784074533725	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clopidogrel_CycloserineD	0.0513728830073585	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clopidogrel_Doxycycline	0.27183477897787	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clopidogrel_Doxorubicin	-0.0296161656970084	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clopidogrel_EGCG	0.0799507283038298	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clopidogrel_Erythromycin	0.0947122633982891	0.681536484032758	S. aureus DSM 20231	neutral	non_antibiotic_screen
Cefepime_Clopidogrel	0.0509225477703329	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clopidogrel_Fosfomycin	-0.0695669143595048	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clopidogrel_Fusidic acid	0.074735485160295	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clopidogrel_Gentamicin	0.221156641834584	0.600012140492873	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clopidogrel_Imipenem	0.0490398680387277	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clopidogrel_Levofloxacin	-0.103527599608168	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Cephalexin_Clopidogrel	0.0537702498204523	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clopidogrel_Lincomycin	0.29042258450033	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clopidogrel_Loperamide	-0.259018754426048	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clopidogrel_Linezolid	0.296130544105805	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clopidogrel_Miconazole	0.0505915299126948	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clopidogrel_MitomycinC	0.0889106133780287	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clopidogrel_Metronidazole	0.0581446295415685	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clopidogrel_Pseudomonic acid	0.0812445930251912	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clopidogrel_Moxifloxacin	0.0728372698396495	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clopidogrel_Nitrofurantoin	0.167987455493153	0.0545545445455454	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clopidogrel_Nisin	0.0839282570380425	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clopidogrel_Novobiocin	0.0501023943131951	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clopidogrel_Oritavancin	0.0940345173234417	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clopidogrel_Oxacillin	0.0517582973778393	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clopidogrel_PenicillinG	0.129344895519644	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clopidogrel_Phleomycin	0.379282759572107	0.00470297797806426	S. aureus DSM 20231	antagonism	non_antibiotic_screen
