Drug A,Drug B,organism ,value,type,method,PMID
Chloramphenicol,Lmipenem,Escherichia coli iAi1,0.18,Antagonism,Bliss,29973719
Chloramphenicol,Fosfomycin,Escherichia coli iAi1,0.24,Antagonism,Bliss,29973719
Chloramphenicol,Meropenem,Escherichia coli iAi1,0.22,Antagonism,Bliss,29973719
Chloramphenicol,Colistin,Escherichia coli iAi1,0.29,Antagonism,Bliss,29973719
Chloramphenicol,Trimethoprim,Escherichia coli iAi1,0.15,Antagonism,Bliss,29973719
Chloramphenicol,Nitrofurantoin,Escherichia coli iAi1,-0.42,Synergy,Bliss,29973719
Chloramphenicol,Piperacillin,Escherichia coli iAi1,-0.26,Synergy,Bliss,29973719
Chloramphenicol,Pyocyanin,Escherichia coli iAi1,-0.13,Additivity,Bliss,29973719
Chloramphenicol,Chlorhexidine,Escherichia coli iAi1,0.13,Antagonism,Bliss,29973719
Chloramphenicol,Levofloxacin,Escherichia coli MG1655,4.39,Antagonism,,28383902
Chloramphenicol,Tobramycin,Escherichia coli MG1655,3.38,Antagonism,,28383902
Chloramphenicol,Nalidixic Acid,Escherichia coli MG1655,2.71,Antagonism,,28383902
Chloramphenicol,Trimethoprim,Escherichia coli MG1655,2.7,Antagonism,,28383902
Chloramphenicol,Ciprofloxacin,Escherichia coli MG1655,2.25,Antagonism,,28383902
Chloramphenicol,Gentamicin,Escherichia coli MG1655,1.94,Antagonism,,28383902
Chloramphenicol,Kanamycin,Escherichia coli MG1655,1.85,Antagonism,,28383902
Chloramphenicol,Nitrofurantoin,Escherichia coli MG1655,1.25,Antagonism,,28383902
Chloramphenicol,Oxacillin,Escherichia coli MG1655,1.21,Antagonism,,28383902
Chloramphenicol,Rifampicin,Escherichia coli MG1655,0.24,Additivity,,28383902
Chloramphenicol,Vancomycin,Escherichia coli MG1655,0.08,Additivity,,28383902
Chloramphenicol,Penicillin G,Escherichia coli MG1655,0.08,Additivity,,28383902
Chloramphenicol,Spectinomycin,Escherichia coli MG1655,-0.12,Additivity,,28383902
Chloramphenicol,Roxithromycin,Escherichia coli MG1655,-0.37,Synergy,,28383902
Chloramphenicol,Mupirocin,Escherichia coli MG1655,-0.6,Synergy,,28383902
Chloramphenicol,Tetracycline,Escherichia coli MG1655,-0.68,Synergy,,28383902
Chloramphenicol,Clarithromycin,Escherichia coli MG1655,-0.72,Synergy,,28383902
Chloramphenicol,Erythromycin,Escherichia coli MG1655,-0.74,Synergy,,28383902
Chloramphenicol,Fusidic Acid,Escherichia coli MG1655,-0.82,Synergy,,28383902
Chloramphenicol,Levofloxacin,Escherichia coli MG1655,4.39,Antagonism,,27222539
Chloramphenicol,Tobramycin,Escherichia coli MG1655,3.38,Antagonism,,27222539
Chloramphenicol,Nalidixic Acid,Escherichia coli MG1655,2.71,Antagonism,,27222539
Chloramphenicol,Trimethoprim,Escherichia coli MG1655,2.7,Antagonism,,27222539
Chloramphenicol,Ciprofloxacin,Escherichia coli MG1655,2.25,Antagonism,,27222539
Chloramphenicol,Gentamicin,Escherichia coli MG1655,1.94,Antagonism,,27222539
Chloramphenicol,Nitrofurantoin,Escherichia coli MG1655,1.25,Antagonism,,27222539
Chloramphenicol,Oxacillin,Escherichia coli MG1655,1.21,Antagonism,,27222539
Chloramphenicol,Rifampicin,Escherichia coli MG1655,0.24,Additivity,,27222539
Chloramphenicol,Vancomycin,Escherichia coli MG1655,0.08,Additivity,,27222539
Chloramphenicol,Spectinomycin,Escherichia coli MG1655,-0.12,Additivity,,27222539
Chloramphenicol,Tetracycline,Escherichia coli MG1655,-0.68,Synergy,,27222539
Chloramphenicol,Clarithromycin,Escherichia coli MG1655,-0.72,Synergy,,27222539
Chloramphenicol,Erythromycin,Escherichia coli MG1655,-0.74,Synergy,,27222539
Chloramphenicol,Fusidic Acid,Escherichia coli MG1655,-0.82,Synergy,,27222539
Chloramphenicol,Doxycycline Hyclate,Escherichia coli MG1655,nan,Additivity,Bliss,16550172
Chloramphenicol,Tetracycline,Escherichia coli MG1655,nan,Antagonism,Bliss,16550172
Chloramphenicol,Spectinomycin,Escherichia coli MG1655,nan,Antagonism,Bliss,16550172
Chloramphenicol,Ciprofloxacin,Escherichia coli MG1655,nan,Additivity,Bliss,16550172
Chloramphenicol,Lomefloxacin,Escherichia coli MG1655,nan,Antagonism,Bliss,16550172
Chloramphenicol,Nalidixic Acid,Escherichia coli MG1655,nan,Antagonism,Bliss,16550172
Chloramphenicol,Sulfamonomethoxine,Escherichia coli MG1655,nan,Antagonism,Bliss,16550172
Chloramphenicol,Trimethoprim,Escherichia coli MG1655,nan,Antagonism,Bliss,16550172
Chloramphenicol,Nitrofurantoin,Escherichia coli MG1655,nan,Antagonism,Bliss,16550172
Chloramphenicol,Amikacin,Escherichia coli MG1655,nan,Antagonism,Bliss,16550172
Chloramphenicol,Tobramycin,Escherichia coli MG1655,nan,Additivity,Bliss,16550172
Chloramphenicol,Streptomycin,Escherichia coli MG1655,nan,Antagonism,Bliss,16550172
Chloramphenicol,Bleomycin,Escherichia coli MG1655,nan,Additivity,Bliss,16550172
Chloramphenicol,Cefsulodin,Pseudomonas aeruginosa PA14,0.04,Additivity,Bliss,29973719
Chloramphenicol,Tobramycin,Pseudomonas aeruginosa PA14,0.41,Antagonism,Bliss,29973719
Chloramphenicol,Amikacin,Pseudomonas aeruginosa PA14,0.15,Antagonism,Bliss,29973719
Chloramphenicol,Chlorhexidine,Pseudomonas aeruginosa PA14,-0.17,Synergy,Bliss,29973719
Chloramphenicol,Penicillin G,Pseudomonas aeruginosa PA14,0.02,Additivity,Bliss,29973719
Chloramphenicol,Ciprofloxacin,Pseudomonas aeruginosa PA14,0.14,Antagonism,Bliss,29973719
Chloramphenicol,Nitrofurantoin,Pseudomonas aeruginosa PA14,0.12,Antagonism,Bliss,29973719
Chloramphenicol,Piperacillin,Pseudomonas aeruginosa PA14,0.1,Antagonism,Bliss,29973719
Chloramphenicol,Cefsulodin,Pseudomonas aeruginosa PAO1,0.46,Antagonism,Bliss,29973719
Chloramphenicol,Tobramycin,Pseudomonas aeruginosa PAO1,0.03,Additivity,Bliss,29973719
Chloramphenicol,Amikacin,Pseudomonas aeruginosa PAO1,0.1,Additivity,Bliss,29973719
Chloramphenicol,Penicillin G,Pseudomonas aeruginosa PAO1,-0.12,Synergy,Bliss,29973719
Chloramphenicol,Ciprofloxacin,Pseudomonas aeruginosa PAO1,0.14,Additivity,Bliss,29973719
Chloramphenicol,Chlorhexidine,Pseudomonas aeruginosa PAO1,0.1,Additivity,Bliss,29973719
Chloramphenicol,Nitrofurantoin,Pseudomonas aeruginosa PAO1,0.08,Additivity,Bliss,29973719
Chloramphenicol,Piperacillin,Pseudomonas aeruginosa PAO1,0.13,Antagonism,Bliss,29973719
Chloramphenicol,Trimethoprim,Salmonella typhimurium 14028,0.13,Antagonism,Bliss,29973719
Chloramphenicol,Cephalexin,Salmonella typhimurium 14028,-0.1,Synergy,Bliss,29973719
Chloramphenicol,Levofloxacin,Salmonella typhimurium 14028,0.13,Additivity,Bliss,29973719
Chloramphenicol,Clarithromycin,Salmonella typhimurium 14028,0.09,Additivity,Bliss,29973719
Chloramphenicol,Moxifloxacin,Salmonella typhimurium 14028,0.27,Antagonism,Bliss,29973719
Chloramphenicol,Novobiocin,Salmonella typhimurium 14028,0.21,Antagonism,Bliss,29973719
Chloramphenicol,Chlorhexidine,Salmonella typhimurium 14028,-0.16,Synergy,Bliss,29973719
Chloramphenicol,Ciprofloxacin,Salmonella typhimurium 14028,0.23,Additivity,Bliss,29973719
Chloramphenicol,Penicillin G,Salmonella typhimurium 14028,0.08,Additivity,Bliss,29973719
Chloramphenicol,Pyocyanin,Salmonella typhimurium 14028,0.21,Antagonism,Bliss,29973719
Chloramphenicol,Trimethoprim,Salmonella typhimurium LT2,0.11,Antagonism,Bliss,29973719
Chloramphenicol,Cephalexin,Salmonella typhimurium LT2,-0.04,Additivity,Bliss,29973719
Chloramphenicol,Levofloxacin,Salmonella typhimurium LT2,0.2,Antagonism,Bliss,29973719
Chloramphenicol,Clarithromycin,Salmonella typhimurium LT2,0.12,Antagonism,Bliss,29973719
Chloramphenicol,Moxifloxacin,Salmonella typhimurium LT2,0.16,Antagonism,Bliss,29973719
Chloramphenicol,Novobiocin,Salmonella typhimurium LT2,-0.05,Additivity,Bliss,29973719
Chloramphenicol,Chlorhexidine,Salmonella typhimurium LT2,-0.09,Additivity,Bliss,29973719
Chloramphenicol,Pyocyanin,Salmonella typhimurium LT2,0.13,Additivity,Bliss,29973719
Chloramphenicol,Penicillin G,Salmonella typhimurium LT2,0.1,Antagonism,Bliss,29973719
Chloramphenicol,Ciprofloxacin,Salmonella typhimurium LT2,0.23,Antagonism,Bliss,29973719
Chloramphenicol,Oxacillin,Staphylococcus aureus ATCC29213,1.25,Antagonism,,27222539
Chloramphenicol,Rifampicin,Staphylococcus aureus ATCC29213,1.23,Antagonism,,27222539
Chloramphenicol,Vancomycin,Staphylococcus aureus ATCC29213,0.85,Additivity,,27222539
Chloramphenicol,Nitrofurantoin,Staphylococcus aureus ATCC29213,0.57,Additivity,,27222539
Chloramphenicol,Tetracycline,Staphylococcus aureus ATCC29213,0.5,Additivity,,27222539
Chloramphenicol,Erythromycin,Staphylococcus aureus ATCC29213,-0.05,Additivity,,27222539
Chloramphenicol,Gentamicin,Staphylococcus aureus ATCC29213,-0.26,Synergy,,27222539
Chloramphenicol,Clarithromycin,Staphylococcus aureus ATCC29213,-0.77,Synergy,,27222539
Chloramphenicol,Amoxycillin,Acinetobacter calcoaceuticus UP,0.24,Synergy,FICI,29202138
Chloramphenicol,Amoxycillin,Bacillus cereus ATCC10702,0.31,Synergy,FICI,29202138
Chloramphenicol,Amoxycillin,Enterococcus cloacae ATCC13047,0.13,Synergy,FICI,29202138
Chloramphenicol,Fosfomycin,Enterococcus faecium,0.28,Synergy,FICI,33130503
Chloramphenicol,Amikacin,Escherichia coli ATCC10798,2.8,Antagonism,,31405069
Chloramphenicol,Amoxycillin,Escherichia coli BW25113,0.08,Additivity,Bliss,29973719
Chloramphenicol,Aztreonam,Escherichia coli BW25113,-0.73,Synergy,Loewe,26956793
Chloramphenicol,Rifampicin,Escherichia coli BW25113,-0.32,Synergy,Loewe,26956793
Chloramphenicol,Ampicillin,Escherichia coli BW25113,nan,Antagonism,Loewe,24867991
Chloramphenicol,Piperacillin,Escherichia coli BW25113,nan,Antagonism,Loewe,24867991
Chloramphenicol,Cefoxitin,Escherichia coli BW25113,nan,Antagonism,Loewe,24867991
Chloramphenicol,Fosfomycin,Escherichia coli BW25113,nan,Additivity,Loewe,24867991
Chloramphenicol,Lomefloxacin,Escherichia coli BW25113,nan,Antagonism,Loewe,24867991
Chloramphenicol,Ciprofloxacin,Escherichia coli BW25113,nan,Antagonism,Loewe,24867991
Chloramphenicol,Nalidixic Acid,Escherichia coli BW25113,nan,Antagonism,Loewe,24867991
Chloramphenicol,Nitrofurantoin,Escherichia coli BW25113,nan,Antagonism,Loewe,24867991
Chloramphenicol,Amikacin,Escherichia coli BW25113,nan,Antagonism,Loewe,24867991
Chloramphenicol,Gentamicin,Escherichia coli BW25113,nan,Antagonism,Loewe,24867991
Chloramphenicol,Kanamycin,Escherichia coli BW25113,nan,Antagonism,Loewe,24867991
Chloramphenicol,Tobramycin,Escherichia coli BW25113,nan,Antagonism,Loewe,24867991
Chloramphenicol,Streptomycin,Escherichia coli BW25113,nan,Antagonism,Loewe,24867991
Chloramphenicol,Tetracycline,Escherichia coli BW25113,nan,Additivity,Loewe,24867991
Chloramphenicol,Doxycycline,Escherichia coli BW25113,nan,Antagonism,Loewe,24867991
Chloramphenicol,Amoxycillin,Escherichia coli iAi1,-0.23,Synergy,Bliss,29973719
Chloramphenicol,Amikacin,Escherichia coli MG1655,2.73,Antagonism,,28383902
Chloramphenicol,Cefoxitin,Escherichia coli MG1655,0.77,Additivity,,28383902
Chloramphenicol,Amikacin,Escherichia coli MG1655,2.73,Antagonism,,27222539
Chloramphenicol,Cefoxitin,Escherichia coli MG1655,0.77,Additivity,,27222539
Chloramphenicol,Ampicillin,Escherichia coli MG1655,nan,Additivity,Bliss,16550172
Chloramphenicol,Piperacillin,Escherichia coli MG1655,nan,Additivity,Bliss,16550172
Chloramphenicol,Cefoxitin,Escherichia coli MG1655,nan,Additivity,Bliss,16550172
Chloramphenicol,Clindamycin,Escherichia coli MG1655,nan,Antagonism,Bliss,16550172
Chloramphenicol,Spiramycin,Escherichia coli MG1655,nan,Antagonism,Bliss,16550172
Chloramphenicol,Erythromycin,Escherichia coli MG1655,nan,Synergy,Bliss,16550172
Chloramphenicol,Fusidic Acid,Escherichia coli MG1655,nan,Additivity,Bliss,16550172
Chloramphenicol,Amoxycillin,Klebsiella pneumoniae ATCC4352,0.75,Additivity,FICI,29202138
Chloramphenicol,Oxacillin,Methicillin-resistant Staphylococcus aureus ATCC43300,nan,Antagonism,Bliss,33013731
Chloramphenicol,Linezolid,Methicillin-resistant Staphylococcus aureus ATCC43300,nan,Additivity,Bliss,33013731
Chloramphenicol,Rifampicin,Methicillin-resistant Staphylococcus aureus ATCC43300,nan,Antagonism,Bliss,33013731
Chloramphenicol,Levofloxacin,Methicillin-resistant Staphylococcus aureus ATCC43300,nan,Antagonism,Bliss,33013731
Chloramphenicol,Fosfomycin,Methicillin-resistant Staphylococcus aureus ATCC43300,nan,Additivity,Bliss,33013731
Chloramphenicol,Tigecycline,Methicillin-resistant Staphylococcus aureus ATCC43300,nan,Additivity,Bliss,33013731
Chloramphenicol,Vancomycin,Methicillin-resistant Staphylococcus aureus ATCC43300,nan,Additivity,Bliss,33013731
Chloramphenicol,Daptomycin,Methicillin-resistant Staphylococcus aureus ATCC43300,nan,Antagonism,Bliss,33013731
Chloramphenicol,Gentamicin,Methicillin-resistant Staphylococcus aureus ATCC43300,nan,Antagonism,Bliss,33013731
Chloramphenicol,Clindamycin,Methicillin-resistant Staphylococcus aureus ATCC43300,nan,Antagonism,Bliss,33013731
Chloramphenicol,Amoxycillin,Proteus vulgaris CSIR0030,0.13,Synergy,FICI,29202138
Chloramphenicol,Amoxycillin,Pseudomonas aeruginosa ATCC19582,0.69,Additivity,FICI,29202138
Chloramphenicol,Amoxycillin,Salmonella typhi ATCC13311,0.13,Synergy,FICI,29202138
Chloramphenicol,Amoxycillin,Shigella sonnei ATCC29930,0.15,Synergy,FICI,29202138
Chloramphenicol,Amoxycillin,Staphylococcus aureus ATCC6538,1,Synergy,FICI,29202138
Chloramphenicol,Amoxycillin,Staphylococcus aureus OK2a,0.13,Synergy,FICI,29202138
Chloramphenicol,Cefoxitin,Staphylococcus aureus ATCC29213,0.92,Additivity,,27222539
Ciprofloxacin,Ampicillin,Acinetobacter baumannii,0.97,Additivity,FICI,32845920
Ciprofloxacin,Ceftriaxone,Acinetobacter baumannii,1.03,Indifferent,FICI,32845920
Ciprofloxacin,Amikacin,Acinetobacter baumannii,0.78,Additivity,FICI,32845920
Ciprofloxacin,Doxycycline,Acinetobacter baumannii,0.84,Additivity,FICI,32845920
Ciprofloxacin,Vancomycin,Acinetobacter baumannii,1.46,Indifferent,FICI,32845920
Ciprofloxacin,Tetracycline,Acinetobacter baumannii ATCC BAA-1710,1.13,Indifferent,FICI,33972678
Ciprofloxacin,Doxycycline,Acinetobacter baumannii ATCC BAA-1710,1.03,Indifferent,FICI,33972678
Ciprofloxacin,Minocycline,Acinetobacter baumannii ATCC BAA-1710,2,Indifferent,FICI,33972678
Ciprofloxacin,Tigecycline,Acinetobacter baumannii ATCC BAA-1710,1.5,Indifferent,FICI,33972678
Ciprofloxacin,Ampicillin,Acinetobacter baumannii ATCC BAA-1710,2,Indifferent,FICI,33972678
Ciprofloxacin,Fosfomycin,Acinetobacter baumannii ATCC BAA-1710,2,Indifferent,FICI,33972678
Ciprofloxacin,Gentamicin,Acinetobacter baumannii ATCC BAA-1710,0.75,Indifferent,FICI,33972678
Ciprofloxacin,Erythromycin,Acinetobacter baumannii ATCC BAA-1710,1.5,Indifferent,FICI,33972678
Ciprofloxacin,Polymyxin B,Acinetobacter baumannii ATCC BAA-1710,1,Indifferent,FICI,33972678
Ciprofloxacin,Tetracycline,Acinetobacter baumannii ATCC BAA-1710,0.75,Indifferent,FICI,33972678
Ciprofloxacin,Rifampicin,Acinetobacter baumannii ATCC BAA-1710,1.5,Indifferent,FICI,33972678
Ciprofloxacin,Tetracycline,Bacillus anthracis str. Sterne,1.03,Indifferent,FICI,15793105
Ciprofloxacin,Penicillin G,Bacillus anthracis str. Sterne,2.03,Indifferent,FICI,15793105
Ciprofloxacin,Clarithromycin,Bacillus anthracis str. Sterne,2.48,Indifferent,FICI,15793105
Ciprofloxacin,Clindamycin,Bacillus anthracis str. Sterne,1.03,Indifferent,FICI,15793105
Ciprofloxacin,Rifampicin,Bacillus anthracis str. Sterne,2.5,Indifferent,FICI,15793105
Ciprofloxacin,Linezolid,Bacillus anthracis str. Sterne,2.03,Indifferent,FICI,15793105
Ciprofloxacin,Tetracycline,Bacillus anthracis str. Sti,1.03,Indifferent,FICI,15793105
Ciprofloxacin,Penicillin G,Bacillus anthracis str. Sti,2.03,Indifferent,FICI,15793105
Ciprofloxacin,Clarithromycin,Bacillus anthracis str. Sti,2.48,Indifferent,FICI,15793105
Ciprofloxacin,Clindamycin,Bacillus anthracis str. Sti,2.29,Indifferent,FICI,15793105
Ciprofloxacin,Rifampicin,Bacillus anthracis str. Sti,1.13,Indifferent,FICI,15793105
Ciprofloxacin,Linezolid,Bacillus anthracis str. Sti,2.03,Indifferent,FICI,15793105
Ciprofloxacin,Sulfamethoxazole-Trimethoprim,Brucella melitensis,0.83,Additivity,FICI,24031207
Ciprofloxacin,Streptomycin,Brucella melitensis,1.25,Indifference,FICI,24031207
Ciprofloxacin,Tetracycline,Escherichia coli ATCC10798,4.12,Antagonism,,31405069
Ciprofloxacin,Spectinomycin,Escherichia coli ATCC10798,3.78,Antagonism,,31405069
Ciprofloxacin,Tobramycin,Escherichia coli ATCC10798,3.12,Antagonism,,31405069
Ciprofloxacin,Rifampicin,Escherichia coli ATCC10798,2.51,Antagonism,,31405069
Ciprofloxacin,Clarithromycin,Escherichia coli ATCC10798,2.36,Antagonism,,31405069
Ciprofloxacin,Mupirocin,Escherichia coli ATCC10798,2.13,Antagonism,,31405069
Ciprofloxacin,Erythromycin,Escherichia coli ATCC10798,1.35,Antagonism,,31405069
Ciprofloxacin,Gentamicin,Escherichia coli ATCC10798,1.34,Antagonism,,31405069
Ciprofloxacin,Fusidic Acid,Escherichia coli ATCC10798,1.12,Antagonism,,31405069
Ciprofloxacin,Amikacin,Escherichia coli BW25113,-0.21,Synergy,Bliss,29973719
Ciprofloxacin,Moxifloxacin,Escherichia coli BW25113,-0.37,Synergy,Bliss,29973719
Ciprofloxacin,Trimethoprim,Escherichia coli BW25113,-0.09,Additivity,Bliss,29973719
Ciprofloxacin,Levofloxacin,Escherichia coli BW25113,-0.03,Additivity,Bliss,29973719
Ciprofloxacin,Doxycycline,Escherichia coli BW25113,0.21,Additivity,Bliss,29973719
Ciprofloxacin,Rifampicin,Escherichia coli BW25113,0.22,Antagonism,Bliss,29973719
Ciprofloxacin,Minocycline,Escherichia coli BW25113,0.16,Antagonism,Bliss,29973719
Ciprofloxacin,Spectinomycin,Escherichia coli BW25113,0.3,Antagonism,Bliss,29973719
Ciprofloxacin,Pyocyanin,Escherichia coli BW25113,0.46,Antagonism,Bliss,29973719
Ciprofloxacin,Fosfomycin,Escherichia coli BW25113,0.16,Antagonism,Bliss,29973719
Ciprofloxacin,Chlorhexidine,Escherichia coli BW25113,0.13,Antagonism,Bliss,29973719
Ciprofloxacin,Nalidixic Acid,Escherichia coli BW25113,nan,Additivity,Loewe,24867991
Ciprofloxacin,Amikacin,Escherichia coli BW25113,nan,Additivity,Loewe,24867991
Ciprofloxacin,Gentamicin,Escherichia coli BW25113,nan,Additivity,Loewe,24867991
Ciprofloxacin,Kanamycin,Escherichia coli BW25113,nan,Additivity,Loewe,24867991
Ciprofloxacin,Tobramycin,Escherichia coli BW25113,nan,Antagonism,Loewe,24867991
Ciprofloxacin,Streptomycin,Escherichia coli BW25113,nan,Additivity,Loewe,24867991
Ciprofloxacin,Tetracycline,Escherichia coli BW25113,nan,Antagonism,Loewe,24867991
Ciprofloxacin,Doxycycline,Escherichia coli BW25113,nan,Antagonism,Loewe,24867991
Ciprofloxacin,Chloramphenicol,Escherichia coli BW25113,nan,Antagonism,Loewe,24867991
Ciprofloxacin,Fusidic Acid,Escherichia coli BW25113,nan,Antagonism,Loewe,24867991
Ciprofloxacin,Sulfamonomethoxine,Escherichia coli BW25113,nan,Additivity,Loewe,24867991
Ciprofloxacin,Trimethoprim,Escherichia coli BW25113,nan,Synergy,Loewe,24867991
Ciprofloxacin,Amikacin,Escherichia coli iAi1,-0.12,Synergy,Bliss,29973719
Ciprofloxacin,Levofloxacin,Escherichia coli iAi1,-0.5,Synergy,Bliss,29973719
Ciprofloxacin,Moxifloxacin,Escherichia coli iAi1,-0.19,Additivity,Bliss,29973719
Ciprofloxacin,Minocycline,Escherichia coli iAi1,0.07,Additivity,Bliss,29973719
Ciprofloxacin,Spectinomycin,Escherichia coli iAi1,0.13,Additivity,Bliss,29973719
Ciprofloxacin,Trimethoprim,Escherichia coli iAi1,0.13,Antagonism,Bliss,29973719
Ciprofloxacin,Rifampicin,Escherichia coli iAi1,0.22,Antagonism,Bliss,29973719
Ciprofloxacin,Doxycycline,Escherichia coli iAi1,0.33,Antagonism,Bliss,29973719
Ciprofloxacin,Pyocyanin,Escherichia coli iAi1,0.22,Additivity,Bliss,29973719
Ciprofloxacin,Chlorhexidine,Escherichia coli iAi1,0.11,Additivity,Bliss,29973719
Ciprofloxacin,Fosfomycin,Escherichia coli iAi1,0.17,Antagonism,Bliss,29973719
Ciprofloxacin,Cefotaxime,Escherichia coli MG1655,1.91,Indifferent,FICI,32941420
Ciprofloxacin,Tetracycline,Escherichia coli MG1655,4.26,Antagonism,,28383902
Ciprofloxacin,Spectinomycin,Escherichia coli MG1655,3.51,Antagonism,,28383902
Ciprofloxacin,Tobramycin,Escherichia coli MG1655,2.91,Antagonism,,28383902
Ciprofloxacin,Clarithromycin,Escherichia coli MG1655,2.15,Antagonism,,28383902
Ciprofloxacin,Mupirocin,Escherichia coli MG1655,2.04,Antagonism,,28383902
Ciprofloxacin,Roxithromycin,Escherichia coli MG1655,1.92,Antagonism,,28383902
Ciprofloxacin,Nitrofurantoin,Escherichia coli MG1655,1.71,Antagonism,,28383902
Ciprofloxacin,Erythromycin,Escherichia coli MG1655,1.4,Antagonism,,28383902
Ciprofloxacin,Gentamicin,Escherichia coli MG1655,1.15,Antagonism,,28383902
Ciprofloxacin,Fusidic Acid,Escherichia coli MG1655,0.95,Additivity,,28383902
Ciprofloxacin,Oxacillin,Escherichia coli MG1655,0.77,Additivity,,28383902
Ciprofloxacin,Rifampicin,Escherichia coli MG1655,0.67,Additivity,,28383902
Ciprofloxacin,Vancomycin,Escherichia coli MG1655,0.57,Additivity,,28383902
Ciprofloxacin,Penicillin G,Escherichia coli MG1655,0.52,Additivity,,28383902
Ciprofloxacin,Kanamycin,Escherichia coli MG1655,0.47,Additivity,,28383902
Ciprofloxacin,Nalidixic Acid,Escherichia coli MG1655,0.24,Additivity,,28383902
Ciprofloxacin,Levofloxacin,Escherichia coli MG1655,-0.01,Additivity,,28383902
Ciprofloxacin,Trimethoprim,Escherichia coli MG1655,-0.47,Synergy,,28383902
Ciprofloxacin,Tetracycline,Escherichia coli MG1655,4.26,Antagonism,,27222539
Ciprofloxacin,Spectinomycin,Escherichia coli MG1655,3.51,Antagonism,,27222539
Ciprofloxacin,Tobramycin,Escherichia coli MG1655,2.91,Antagonism,,27222539
Ciprofloxacin,Clarithromycin,Escherichia coli MG1655,2.15,Antagonism,,27222539
Ciprofloxacin,Nitrofurantoin,Escherichia coli MG1655,1.71,Antagonism,,27222539
Ciprofloxacin,Erythromycin,Escherichia coli MG1655,1.4,Antagonism,,27222539
Ciprofloxacin,Gentamicin,Escherichia coli MG1655,1.15,Antagonism,,27222539
Ciprofloxacin,Fusidic Acid,Escherichia coli MG1655,0.95,Additivity,,27222539
Ciprofloxacin,Oxacillin,Escherichia coli MG1655,0.77,Additivity,,27222539
Ciprofloxacin,Rifampicin,Escherichia coli MG1655,0.67,Additivity,,27222539
Ciprofloxacin,Vancomycin,Escherichia coli MG1655,0.57,Additivity,,27222539
Ciprofloxacin,Nalidixic Acid,Escherichia coli MG1655,0.24,Additivity,,27222539
Ciprofloxacin,Levofloxacin,Escherichia coli MG1655,-0.01,Additivity,,27222539
Ciprofloxacin,Trimethoprim,Escherichia coli MG1655,-0.47,Synergy,,27222539
Ciprofloxacin,Lomefloxacin,Escherichia coli MG1655,nan,Additivity,Bliss,16550172
Ciprofloxacin,Nalidixic Acid,Escherichia coli MG1655,nan,Additivity,Bliss,16550172
Ciprofloxacin,Sulfamonomethoxine,Escherichia coli MG1655,nan,Additivity,Bliss,16550172
Ciprofloxacin,Trimethoprim,Escherichia coli MG1655,nan,Additivity,Bliss,16550172
Ciprofloxacin,Nitrofurantoin,Escherichia coli MG1655,nan,Additivity,Bliss,16550172
Ciprofloxacin,Amikacin,Escherichia coli MG1655,nan,Synergy,Bliss,16550172
Ciprofloxacin,Tobramycin,Escherichia coli MG1655,nan,Additivity,Bliss,16550172
Ciprofloxacin,Streptomycin,Escherichia coli MG1655,nan,Synergy,Bliss,16550172
Ciprofloxacin,Bleomycin,Escherichia coli MG1655,nan,Additivity,Bliss,16550172
Ciprofloxacin,Vancomycin,Flavobacterium meningosepticum,0.62,Additivity,FICI,9597247
Ciprofloxacin,Ceftazidime,Pseudomonas aeruginosa,1.5,Indifferent,FICI,33582141
Ciprofloxacin,Piperacillin,Pseudomonas aeruginosa,0.5,Synergy,FICI,33582141
Ciprofloxacin,Amikacin,Pseudomonas aeruginosa,1,Additivity,FICI,33582141
Ciprofloxacin,Azlocillin,Pseudomonas aeruginosa,0.38,Synergy,FICI,33582141
Ciprofloxacin,Mezlocillin,Pseudomonas aeruginosa,nan,Synergy,FICI,2508546
Ciprofloxacin,Piperacillin,Pseudomonas aeruginosa,nan,Synergy,FICI,2508546
Ciprofloxacin,Cefoperazone,Pseudomonas aeruginosa,nan,Synergy,FICI,2508546
Ciprofloxacin,Ceftazidime,Pseudomonas aeruginosa,nan,Synergy,FICI,2508546
Ciprofloxacin,Lmipenem,Pseudomonas aeruginosa,nan,Synergy,FICI,2508546
Ciprofloxacin,Cefsulodin,Pseudomonas aeruginosa,nan,Synergy,FICI,2508546
Ciprofloxacin,Aztreonam,Pseudomonas aeruginosa,nan,Synergy,FICI,2508546
Ciprofloxacin,Gentamicin,Pseudomonas aeruginosa,nan,Synergy,FICI,2508546
Ciprofloxacin,Amikacin,Pseudomonas aeruginosa,nan,Synergy,FICI,2508546
Ciprofloxacin,Tobramycin,Pseudomonas aeruginosa,nan,Synergy,FICI,2508546
Ciprofloxacin,Cefotaxime,Pseudomonas aeruginosa PA14,2.68,Indifferent,FICI,32941420
Ciprofloxacin,Moxifloxacin,Pseudomonas aeruginosa PA14,-0.24,Synergy,Bliss,29973719
Ciprofloxacin,Rifampicin,Pseudomonas aeruginosa PA14,0.13,Antagonism,Bliss,29973719
Ciprofloxacin,Doxorubicin,Pseudomonas aeruginosa PA14,-0.16,Synergy,Bliss,29973719
Ciprofloxacin,Cefotaxime,Pseudomonas aeruginosa PA14,0.05,Additivity,Bliss,29973719
Ciprofloxacin,Piperacillin,Pseudomonas aeruginosa PA14,0.12,Additivity,Bliss,29973719
Ciprofloxacin,Cephalexin,Pseudomonas aeruginosa PA14,-0.04,Additivity,Bliss,29973719
